forward_num_strict_cluster_competition_0.10,reverse_num_strict_cluster_competition_0.10,forward_rate_strict_cluster_competition_0.10,reverse_rate_strict_cluster_competition_0.10,organism_num_strict_cluster_competition_0.10,organism_rate_strict_cluster_competition_0.10,forward_num_strict_cluster_competition_0.15,reverse_num_strict_cluster_competition_0.15,forward_rate_strict_cluster_competition_0.15,reverse_rate_strict_cluster_competition_0.15,organism_num_strict_cluster_competition_0.15,organism_rate_strict_cluster_competition_0.15,forward_num_strict_cluster_competition_0.20,reverse_num_strict_cluster_competition_0.20,forward_rate_strict_cluster_competition_0.20,reverse_rate_strict_cluster_competition_0.20,organism_num_strict_cluster_competition_0.20,organism_rate_strict_cluster_competition_0.20,forward_num_strict_cluster_competition_0.25,reverse_num_strict_cluster_competition_0.25,forward_rate_strict_cluster_competition_0.25,reverse_rate_strict_cluster_competition_0.25,organism_num_strict_cluster_competition_0.25,organism_rate_strict_cluster_competition_0.25,forward_num_strict_cluster_competition_0.30,reverse_num_strict_cluster_competition_0.30,forward_rate_strict_cluster_competition_0.30,reverse_rate_strict_cluster_competition_0.30,organism_num_strict_cluster_competition_0.30,organism_rate_strict_cluster_competition_0.30,forward_num_strict_cluster_competition_0.35,reverse_num_strict_cluster_competition_0.35,forward_rate_strict_cluster_competition_0.35,reverse_rate_strict_cluster_competition_0.35,organism_num_strict_cluster_competition_0.35,organism_rate_strict_cluster_competition_0.35,forward_num_strict_cluster_competition_0.40,reverse_num_strict_cluster_competition_0.40,forward_rate_strict_cluster_competition_0.40,reverse_rate_strict_cluster_competition_0.40,organism_num_strict_cluster_competition_0.40,organism_rate_strict_cluster_competition_0.40,forward_num_strict_cluster_competition_0.45,reverse_num_strict_cluster_competition_0.45,forward_rate_strict_cluster_competition_0.45,reverse_rate_strict_cluster_competition_0.45,organism_num_strict_cluster_competition_0.45,organism_rate_strict_cluster_competition_0.45,forward_num_strict_cluster_competition_0.50,reverse_num_strict_cluster_competition_0.50,forward_rate_strict_cluster_competition_0.50,reverse_rate_strict_cluster_competition_0.50,organism_num_strict_cluster_competition_0.50,organism_rate_strict_cluster_competition_0.50,forward_num_strict_cluster_competition_0.55,reverse_num_strict_cluster_competition_0.55,forward_rate_strict_cluster_competition_0.55,reverse_rate_strict_cluster_competition_0.55,organism_num_strict_cluster_competition_0.55,organism_rate_strict_cluster_competition_0.55,forward_num_strict_cluster_competition_0.60,reverse_num_strict_cluster_competition_0.60,forward_rate_strict_cluster_competition_0.60,reverse_rate_strict_cluster_competition_0.60,organism_num_strict_cluster_competition_0.60,organism_rate_strict_cluster_competition_0.60
500.0,500.0,5.5,5.5,1000.0,5.5,500.0,500.0,5.5,5.5,1000.0,5.5,500.0,500.0,5.5,5.5,1000.0,5.5,500.0,500.0,5.5,5.5,1000.0,5.5,500.0,500.0,5.5,5.5,1000.0,5.5,500.0,500.0,5.5,5.5,1000.0,5.5,500.0,500.0,5.5,5.5,1000.0,5.5,500.0,500.0,5.5,5.5,1000.0,5.5,500.0,500.0,5.5,5.5,1000.0,5.5,500.0,500.0,5.5,5.5,1000.0,5.5,500.0,500.0,5.5,5.5,1000.0,5.5
494.55,494.3,5.49994848696123,5.49463968926973,988.85,5.49729595179901,495.4,494.05,5.49726842041429,5.50016727418456,989.45,5.49871627584355,494.95,494.5,5.49862525892929,5.49644182579327,989.45,5.49754110472754,495.0,495.15,5.49715426197061,5.50165503579049,990.15,5.49941272538793,494.75,494.35,5.49417173388335,5.50037113017949,989.1,5.49726792426761,494.55,494.9,5.50035291721836,5.49999750992871,989.45,5.50017437777713,494.55,495.25,5.50247800097623,5.50348244365458,989.8,5.50297658940827,495.05,494.6,5.50044499246344,5.50181511631918,989.65,5.50113210580501,495.05,494.45,5.49953870318466,5.49722095452502,989.5,5.49838040867799,494.45,494.8,5.50450342278774,5.49888552145512,989.25,5.50169211479727,495.65,494.7,5.49812125812574,5.50010246838762,990.35,5.49911404238954
492.7,492.35,5.49705081043414,5.49315019409479,985.05,5.49510162239906,493.6,492.05,5.49472263512957,5.50066127347063,985.65,5.49769214852727,492.65,492.55,5.49861773816715,5.49548391165008,985.2,5.4970502129771,492.65,492.85,5.49779476809491,5.49799945933099,985.5,5.49791100565434,493.0,491.95,5.49247731201745,5.50037173385385,984.95,5.49641796685548,492.5,492.35,5.49878047710279,5.49415661291122,984.85,5.49646799107179,492.25,492.95,5.50461916645868,5.50776703274281,985.2,5.50618673210559,493.45,492.65,5.50178872102348,5.50207230386187,986.1,5.50193081642825,492.85,492.25,5.50107954926951,5.49466672659186,985.1,5.49786559725923,492.4,492.7,5.50733708195417,5.49755797308878,985.1,5.50244363444907,493.8,492.2,5.4979535768649,5.50305174317317,986.0,5.50050652877442
543.65,454.65,6.02840179706141,5.48976264534661,998.3,5.783136076738,544.45,453.95,6.0495716079223,5.49183067536674,998.4,5.79612930231503,545.25,453.1,6.06046307249818,5.49214608893843,998.35,5.80268613442519,543.15,454.9,6.02224511787554,5.50408915223889,998.05,5.78598440016561,546.55,452.15,5.98699998611546,5.49474072476596,998.7,5.76438964014114,544.6,453.85,5.9305567953865,5.48847241353781,998.45,5.72964617433313,545.4,452.7,5.80259152894421,5.51055858201033,998.1,5.66967097446421,536.4,461.85,5.6446872358534,5.55062574630436,998.25,5.60077913544687,496.25,490.6,5.49576118223788,5.49849077161502,986.85,5.4970971346523,490.8,490.7,5.50728127163572,5.49653110808711,981.5,5.50188724820654,491.9,490.75,5.49926488036601,5.50310682718325,982.65,5.50118852983442
580.75,417.9,6.11958940385456,5.49612959415351,998.65,5.85881033328893,580.6,417.5,6.11740243140756,5.49408794541707,998.1,5.85715153752716,582.25,415.95,6.12827510135279,5.49379552572237,998.2,5.8640122711816,580.35,418.0,6.10519938453931,5.51284154563733,998.35,5.85721726227708,583.95,414.15,6.07695603162458,5.49840040028273,998.1,5.8371370755181,579.4,419.1,6.02819800176514,5.48529697082436,998.5,5.80020348285128,584.0,414.4,5.89358853594467,5.52036677551819,998.4,5.73888232296584,574.35,424.15,5.63086127216573,5.54507488468053,998.5,5.59469061903555,514.55,481.3,5.53491817847956,5.49117700902063,995.85,5.51374343856831,489.4,489.4,5.50464286297219,5.49968760291294,978.8,5.5021491891195,490.8,489.6,5.49814277156441,5.50387998222056,980.4,5.50101301070316
613.95,384.4,6.25214789617374,5.49319860716452,998.35,5.96018386980738,616.65,381.55,6.25089269479143,5.48789094812183,998.2,5.95984139023492,619.3,379.15,6.2507194674263,5.47955047201205,998.45,5.95793819822372,615.15,382.95,6.23368502893313,5.49926669140519,998.1,5.95196887056106,617.75,380.3,6.2025506243094,5.49909684416472,998.05,5.93457527254212,614.45,384.25,6.08750710987287,5.47466690679144,998.7,5.85135350781643,618.1,379.95,5.94478409136779,5.5189124085777,998.05,5.78259663902816,606.55,391.5,5.66741206306671,5.54141973060025,998.05,5.61715746962982,521.25,476.0,5.47298646860295,5.50595432853636,997.25,5.48871535520654,489.95,488.25,5.5034812539171,5.49964366121633,978.2,5.5015468921697,489.85,488.15,5.49727185781225,5.50424788737609,978.0,5.50075228001695
644.95,353.25,6.26691913911389,5.49460118575092,998.2,5.99374605398067,647.45,350.8,6.26184055903931,5.49985526057931,998.25,5.99450308279071,651.35,347.15,6.25577396887331,5.48139166654397,998.5,5.98662710726517,646.55,351.75,6.25119143359738,5.50045599957795,998.3,5.98679014776571,649.0,349.4,6.22427843815102,5.49125334117263,998.4,5.96775617649758,646.35,352.2,6.13623993318542,5.47494473035205,998.55,5.90254496324654,650.9,347.45,5.91515044085923,5.50074538861344,998.35,5.77107518671971,633.2,364.8,5.5914480781721,5.53702947285496,998.0,5.57010381899044,527.9,470.25,5.45496153405848,5.48641877141504,998.15,5.46962044700314,515.35,476.1,5.54774435179542,5.49807799388462,991.45,5.52394967340013,488.75,487.1,5.49796457987262,5.50382166065378,975.85,5.50088257041077
663.8,334.3,6.2894382964509,5.46371127356681,998.1,6.01318626052169,667.55,330.55,6.30350167798307,5.45068414259237,998.1,6.02137332527868,668.8,329.4,6.28769124649686,5.42012376701553,998.2,6.00188896129844,662.2,336.2,6.27329668414096,5.44550113232788,998.4,5.99425092047825,666.1,331.95,6.23165662416906,5.43255438405206,998.05,5.96615824516598,662.4,336.2,6.15338973319098,5.42506531041623,998.6,5.90722805375732,669.85,328.25,5.91585019530283,5.46331303442257,998.1,5.76646183966045,646.45,351.9,5.56255423915578,5.43940933945611,998.35,5.52056023611494,530.1,468.55,5.42553555134896,5.47057765531794,998.65,5.44625527330938,529.0,469.4,5.52552370104598,5.49612845430598,998.4,5.51182552725368,513.95,484.45,5.47320684939722,5.50278483970159,998.4,5.48758367525661
683.8,314.5,6.39121036721215,5.38376934321001,998.3,6.07432305444158,688.45,309.55,6.41239655931779,5.40362743850281,998.0,6.09945651735993,688.75,309.35,6.40880011798008,5.35205601181883,998.1,6.08137598487099,682.65,315.35,6.38394711502962,5.41566458582262,998.0,6.07810656958406,686.65,311.7,6.34035011328651,5.37837321658399,998.35,6.04007688822404,685.6,312.9,6.2421151699061,5.39760148917786,998.5,5.97640708609708,693.2,304.55,5.96678094752526,5.41519191418525,997.75,5.79800229246245,660.9,337.35,5.58899422509659,5.3716202609415,998.25,5.51618214335364,532.4,464.85,5.41497942354379,5.46994834493986,997.25,5.43999178290734,533.8,463.7,5.49660388699132,5.50225722951004,997.5,5.49919352957479,514.75,476.0,5.46334521478198,5.50170680177488,990.75,5.48172950080936
703.05,294.95,6.46670605551842,5.340825541412,998.0,6.13436618320565,707.5,290.9,6.47992136003642,5.35078597935843,998.4,6.15027179754714,705.85,292.6,6.49383673723048,5.29046913444265,998.45,6.1414415439051,703.35,294.7,6.43551272234923,5.36478147793337,998.05,6.11913553345601,706.4,291.65,6.40746981299152,5.32930648394899,998.05,6.09224908052906,704.95,293.4,6.31824327431508,5.34956283756636,998.35,6.03297158924582,710.15,288.25,6.00525428649625,5.34394855968647,998.4,5.81233257330552,672.9,325.55,5.5976639861168,5.28326438287528,998.45,5.49725210740476,547.85,450.4,5.38489882600373,5.43163684726232,998.25,5.40541758801714,516.55,476.45,5.49830018529241,5.53211121674977,993.0,5.51442574292432,512.65,474.3,5.46605733698884,5.50405375724737,986.95,5.48425211204642
