forward_num_temp_incr_mut_reverse_0.10,reverse_num_temp_incr_mut_reverse_0.10,forward_rate_temp_incr_mut_reverse_0.10,reverse_rate_temp_incr_mut_reverse_0.10,organism_num_temp_incr_mut_reverse_0.10,organism_rate_temp_incr_mut_reverse_0.10,forward_num_temp_incr_mut_reverse_0.30,reverse_num_temp_incr_mut_reverse_0.30,forward_rate_temp_incr_mut_reverse_0.30,reverse_rate_temp_incr_mut_reverse_0.30,organism_num_temp_incr_mut_reverse_0.30,organism_rate_temp_incr_mut_reverse_0.30,forward_num_temp_incr_mut_reverse_0.55,reverse_num_temp_incr_mut_reverse_0.55,forward_rate_temp_incr_mut_reverse_0.55,reverse_rate_temp_incr_mut_reverse_0.55,organism_num_temp_incr_mut_reverse_0.55,organism_rate_temp_incr_mut_reverse_0.55,forward_num_temp_incr_mut_reverse_0.25,reverse_num_temp_incr_mut_reverse_0.25,forward_rate_temp_incr_mut_reverse_0.25,reverse_rate_temp_incr_mut_reverse_0.25,organism_num_temp_incr_mut_reverse_0.25,organism_rate_temp_incr_mut_reverse_0.25,forward_num_temp_incr_mut_reverse_0.45,reverse_num_temp_incr_mut_reverse_0.45,forward_rate_temp_incr_mut_reverse_0.45,reverse_rate_temp_incr_mut_reverse_0.45,organism_num_temp_incr_mut_reverse_0.45,organism_rate_temp_incr_mut_reverse_0.45,forward_num_temp_incr_mut_reverse_0.15,reverse_num_temp_incr_mut_reverse_0.15,forward_rate_temp_incr_mut_reverse_0.15,reverse_rate_temp_incr_mut_reverse_0.15,organism_num_temp_incr_mut_reverse_0.15,organism_rate_temp_incr_mut_reverse_0.15,forward_num_temp_incr_mut_reverse_0.35,reverse_num_temp_incr_mut_reverse_0.35,forward_rate_temp_incr_mut_reverse_0.35,reverse_rate_temp_incr_mut_reverse_0.35,organism_num_temp_incr_mut_reverse_0.35,organism_rate_temp_incr_mut_reverse_0.35,forward_num_temp_incr_mut_reverse_0.50,reverse_num_temp_incr_mut_reverse_0.50,forward_rate_temp_incr_mut_reverse_0.50,reverse_rate_temp_incr_mut_reverse_0.50,organism_num_temp_incr_mut_reverse_0.50,organism_rate_temp_incr_mut_reverse_0.50,forward_num_temp_incr_mut_reverse_0.20,reverse_num_temp_incr_mut_reverse_0.20,forward_rate_temp_incr_mut_reverse_0.20,reverse_rate_temp_incr_mut_reverse_0.20,organism_num_temp_incr_mut_reverse_0.20,organism_rate_temp_incr_mut_reverse_0.20,forward_num_temp_incr_mut_reverse_0.40,reverse_num_temp_incr_mut_reverse_0.40,forward_rate_temp_incr_mut_reverse_0.40,reverse_rate_temp_incr_mut_reverse_0.40,organism_num_temp_incr_mut_reverse_0.40,organism_rate_temp_incr_mut_reverse_0.40,forward_num_temp_incr_mut_reverse_0.60,reverse_num_temp_incr_mut_reverse_0.60,forward_rate_temp_incr_mut_reverse_0.60,reverse_rate_temp_incr_mut_reverse_0.60,organism_num_temp_incr_mut_reverse_0.60,organism_rate_temp_incr_mut_reverse_0.60
0.0,10.0,0.0,5.5,10.0,5.5,0.0,10.0,0.0,5.5,10.0,5.5,0.0,10.0,0.0,5.5,10.0,5.5,0.0,10.0,0.0,5.5,10.0,5.5,0.0,10.0,0.0,5.5,10.0,5.5,0.0,10.0,0.0,5.5,10.0,5.5,0.0,10.0,0.0,5.5,10.0,5.5,0.0,10.0,0.0,5.5,10.0,5.5,0.0,10.0,0.0,5.5,10.0,5.5,0.0,10.0,0.0,5.5,10.0,5.5,0.0,10.0,0.0,5.5,10.0,5.5
0.0,10.1,0.0,5.51363636363636,10.1,5.51363636363636,0.0,10.2,0.0,5.51818181818182,10.2,5.51818181818182,0.0,10.0,0.0,5.5,10.0,5.5,0.0,10.0,0.0,5.5,10.0,5.5,0.0,10.0,0.0,5.5,10.0,5.5,0.0,10.3,0.0,5.55909090909091,10.3,5.55909090909091,0.0,10.3,0.0,5.55909090909091,10.3,5.55909090909091,0.0,10.2,0.0,5.54545454545455,10.2,5.54545454545455,0.0,10.0,0.0,5.5,10.0,5.5,0.0,10.0,0.0,5.51919191919192,10.0,5.51919191919192,0.0,10.1,0.0,5.54090909090909,10.1,5.54090909090909
0.0,10.4,0.0,5.56363636363636,10.4,5.56363636363636,0.0,10.6,0.0,5.59090909090909,10.6,5.59090909090909,0.0,10.1,0.0,5.53181818181818,10.1,5.53181818181818,0.0,10.1,0.0,5.48636363636364,10.1,5.48636363636364,0.0,10.2,0.0,5.49090909090909,10.2,5.49090909090909,0.0,10.6,0.0,5.61818181818182,10.6,5.61818181818182,0.0,10.6,0.0,5.56186868686869,10.6,5.56186868686869,0.0,10.4,0.0,5.53257575757576,10.4,5.53257575757576,0.0,10.4,0.0,5.6,10.4,5.6,0.0,10.4,0.0,5.50252525252525,10.4,5.50252525252525,0.0,10.2,0.0,5.58181818181818,10.2,5.58181818181818
0.0,10.5,0.0,5.6469696969697,10.5,5.6469696969697,0.0,10.8,0.0,5.59924242424242,10.8,5.59924242424242,0.0,10.4,0.0,5.60909090909091,10.4,5.60909090909091,0.0,10.6,0.0,5.48484848484849,10.6,5.48484848484849,0.0,10.4,0.0,5.52878787878788,10.4,5.52878787878788,0.0,11.0,0.0,5.69545454545455,11.0,5.69545454545455,0.0,10.7,0.0,5.54648407148407,10.7,5.54648407148407,0.0,10.7,0.0,5.55419580419581,10.7,5.55419580419581,0.0,10.8,0.0,5.63030303030303,10.8,5.63030303030303,0.0,10.7,0.0,5.54873737373737,10.7,5.54873737373737,0.0,10.4,0.0,5.65454545454545,10.4,5.65454545454545
0.0,11.0,0.0,5.7020979020979,11.0,5.7020979020979,0.0,11.1,0.0,5.66567599067599,11.1,5.66567599067599,0.0,10.6,0.0,5.66363636363636,10.6,5.66363636363636,0.0,10.8,0.0,5.48484848484849,10.8,5.48484848484849,0.0,10.3,0.0,5.47878787878788,10.3,5.47878787878788,0.0,11.3,0.0,5.73181818181818,11.3,5.73181818181818,0.0,11.0,0.0,5.65102952602953,11.0,5.65102952602953,0.0,10.8,0.0,5.57692307692308,10.8,5.57692307692308,0.0,10.8,0.0,5.63030303030303,10.8,5.63030303030303,0.0,11.0,0.0,5.58848096348097,11.0,5.58848096348097,0.0,10.8,0.0,5.69469696969697,10.8,5.69469696969697
0.0,11.4,0.0,5.71797868797869,11.4,5.71797868797869,0.0,11.4,0.0,5.67590909090909,11.4,5.67590909090909,0.0,10.9,0.0,5.72727272727273,10.9,5.72727272727273,0.0,11.0,0.0,5.49393939393939,11.0,5.49393939393939,0.0,10.4,0.0,5.51468531468531,10.4,5.51468531468531,0.0,11.4,0.0,5.75151515151515,11.4,5.75151515151515,0.0,11.0,0.0,5.65102952602953,11.0,5.65102952602953,0.0,11.3,0.0,5.67727272727273,11.3,5.67727272727273,0.0,11.0,0.0,5.63712121212121,11.0,5.63712121212121,0.0,11.3,0.0,5.59292540792541,11.3,5.59292540792541,0.0,11.1,0.0,5.76818181818182,11.1,5.76818181818182
0.0,11.6,0.0,5.78949383949384,11.6,5.78949383949384,0.0,11.5,0.0,5.68954545454546,11.5,5.68954545454546,0.0,11.1,0.0,5.73741258741259,11.1,5.73741258741259,0.0,11.1,0.0,5.49924242424243,11.1,5.49924242424243,0.0,10.7,0.0,5.5275641025641,10.7,5.5275641025641,0.0,12.0,0.0,5.85227272727273,12.0,5.85227272727273,0.0,11.2,0.0,5.64799922299922,11.2,5.64799922299922,0.0,11.4,0.0,5.71818181818182,11.4,5.71818181818182,0.0,11.0,0.0,5.63712121212121,11.0,5.63712121212121,0.0,11.5,0.0,5.58723776223776,11.5,5.58723776223776,0.0,11.4,0.0,5.81818181818182,11.4,5.81818181818182
0.0,11.9,0.0,5.81761072261072,11.9,5.81761072261072,0.0,11.9,0.0,5.74700466200466,11.9,5.74700466200466,0.0,11.5,0.0,5.75483682983683,11.5,5.75483682983683,0.0,11.3,0.0,5.45287878787879,11.3,5.45287878787879,0.0,10.9,0.0,5.5275641025641,10.9,5.5275641025641,0.0,12.5,0.0,5.87680652680653,12.5,5.87680652680653,0.0,11.7,0.0,5.70102952602953,11.7,5.70102952602953,0.0,11.3,0.0,5.68545454545455,11.3,5.68545454545455,0.0,11.3,0.0,5.60198135198135,11.3,5.60198135198135,0.0,11.5,0.0,5.58723776223776,11.5,5.58723776223776,0.0,11.5,0.0,5.82045454545455,11.5,5.82045454545455
0.0,12.1,0.0,5.79261072261072,12.1,5.79261072261072,0.0,12.3,0.0,5.807668997669,12.3,5.807668997669,0.0,11.7,0.0,5.79271561771562,11.7,5.79271561771562,0.0,11.5,0.0,5.47240093240093,11.5,5.47240093240093,0.0,11.3,0.0,5.64268398268398,11.3,5.64268398268398,0.0,12.5,0.0,5.87680652680653,12.5,5.87680652680653,0.0,11.8,0.0,5.67830225330225,11.8,5.67830225330225,0.0,11.4,0.0,5.68545454545455,11.4,5.68545454545455,0.0,11.4,0.0,5.57016317016317,11.4,5.57016317016317,0.0,11.6,0.0,5.58723776223776,11.6,5.58723776223776,0.0,11.7,0.0,5.79865967365968,11.7,5.79865967365968
0.0,12.0,0.0,5.81230769230769,12.0,5.81230769230769,0.0,12.6,0.0,5.83519147519148,12.6,5.83519147519148,0.0,11.8,0.0,5.81165501165501,11.8,5.81165501165501,0.0,11.6,0.0,5.46876456876457,11.6,5.46876456876457,0.0,11.5,0.0,5.68435064935065,11.5,5.68435064935065,0.0,13.2,0.0,5.94372502497502,13.2,5.94372502497502,0.0,12.1,0.0,5.70948717948718,12.1,5.70948717948718,0.0,11.5,0.0,5.66622377622378,11.5,5.66622377622378,0.0,11.4,0.0,5.57016317016317,11.4,5.57016317016317,0.0,11.8,0.0,5.60291375291375,11.8,5.60291375291375,0.0,11.8,0.0,5.81759906759907,11.8,5.81759906759907
