forward_num_growth_compet_nomut_0.10,reverse_num_growth_compet_nomut_0.10,forward_rate_growth_compet_nomut_0.10,reverse_rate_growth_compet_nomut_0.10,organism_num_growth_compet_nomut_0.10,organism_rate_growth_compet_nomut_0.10,forward_num_growth_compet_nomut_0.15,reverse_num_growth_compet_nomut_0.15,forward_rate_growth_compet_nomut_0.15,reverse_rate_growth_compet_nomut_0.15,organism_num_growth_compet_nomut_0.15,organism_rate_growth_compet_nomut_0.15,forward_num_growth_compet_nomut_0.20,reverse_num_growth_compet_nomut_0.20,forward_rate_growth_compet_nomut_0.20,reverse_rate_growth_compet_nomut_0.20,organism_num_growth_compet_nomut_0.20,organism_rate_growth_compet_nomut_0.20,forward_num_growth_compet_nomut_0.25,reverse_num_growth_compet_nomut_0.25,forward_rate_growth_compet_nomut_0.25,reverse_rate_growth_compet_nomut_0.25,organism_num_growth_compet_nomut_0.25,organism_rate_growth_compet_nomut_0.25,forward_num_growth_compet_nomut_0.30,reverse_num_growth_compet_nomut_0.30,forward_rate_growth_compet_nomut_0.30,reverse_rate_growth_compet_nomut_0.30,organism_num_growth_compet_nomut_0.30,organism_rate_growth_compet_nomut_0.30,forward_num_growth_compet_nomut_0.35,reverse_num_growth_compet_nomut_0.35,forward_rate_growth_compet_nomut_0.35,reverse_rate_growth_compet_nomut_0.35,organism_num_growth_compet_nomut_0.35,organism_rate_growth_compet_nomut_0.35,forward_num_growth_compet_nomut_0.40,reverse_num_growth_compet_nomut_0.40,forward_rate_growth_compet_nomut_0.40,reverse_rate_growth_compet_nomut_0.40,organism_num_growth_compet_nomut_0.40,organism_rate_growth_compet_nomut_0.40,forward_num_growth_compet_nomut_0.45,reverse_num_growth_compet_nomut_0.45,forward_rate_growth_compet_nomut_0.45,reverse_rate_growth_compet_nomut_0.45,organism_num_growth_compet_nomut_0.45,organism_rate_growth_compet_nomut_0.45,forward_num_growth_compet_nomut_0.50,reverse_num_growth_compet_nomut_0.50,forward_rate_growth_compet_nomut_0.50,reverse_rate_growth_compet_nomut_0.50,organism_num_growth_compet_nomut_0.50,organism_rate_growth_compet_nomut_0.50,forward_num_growth_compet_nomut_0.55,reverse_num_growth_compet_nomut_0.55,forward_rate_growth_compet_nomut_0.55,reverse_rate_growth_compet_nomut_0.55,organism_num_growth_compet_nomut_0.55,organism_rate_growth_compet_nomut_0.55,forward_num_growth_compet_nomut_0.60,reverse_num_growth_compet_nomut_0.60,forward_rate_growth_compet_nomut_0.60,reverse_rate_growth_compet_nomut_0.60,organism_num_growth_compet_nomut_0.60,organism_rate_growth_compet_nomut_0.60
18.8,19.8,5.66222222222222,5.71888888888889,38.6,5.7008918128655,18.8,19.7,5.67333333333333,5.73368421052632,38.5,5.71192645074224,19.6,19.6,5.69333333333334,5.6675,39.2,5.68239766081871,20.0,19.2,5.7,5.71,39.2,5.70444444444445,19.1,19.4,5.68342105263158,5.67486842105263,38.5,5.6817094017094,19.9,19.2,5.71421052631579,5.685,39.1,5.70025641025641,18.9,18.8,5.65976608187134,5.78190476190476,37.7,5.71769793072425,19.0,14.9,5.62111111111111,5.40651098901099,33.9,5.53493301360949,19.2,14.0,5.66067669172932,5.42857142857143,33.2,5.56566080977846,19.3,10.6,5.73228070175439,5.5919191919192,29.9,5.67993696700037,19.4,9.3,5.71222222222222,5.40186868686869,28.7,5.61310162379128
24.4,25.4,5.61393473193473,5.64167832167832,49.8,5.63195515056129,24.8,25.5,5.59743589743589,5.6365641025641,50.3,5.62129274646922,25.2,25.5,5.6013986013986,5.59267132867132,50.7,5.59867703218767,26.0,24.3,5.61538461538461,5.63210256410256,50.3,5.6227478403949,24.0,25.2,5.58706737053796,5.6004662004662,49.2,5.59794182561624,25.7,25.2,5.61476923076923,5.6013986013986,50.9,5.60867269984917,24.5,18.8,5.57203885003885,5.78190476190476,43.3,5.66053179721372,25.0,19.4,5.55897435897436,5.72527777777778,44.4,5.63593866088145,24.8,13.9,5.59045299145299,5.42417582417583,38.7,5.53244656305777,24.8,13.5,5.65635198135198,5.45649350649351,38.3,5.58337819243392,25.2,11.0,5.63834498834499,5.54545454545455,36.2,5.60928980928981
31.6,33.4,5.90005793226382,5.96670231729056,65.0,5.94686744989837,32.0,33.4,5.88382352941177,5.95864527629234,65.4,5.93493617883434,33.1,33.1,5.93639928698753,5.91144933497875,66.2,5.92623129102387,34.0,32.3,5.94117647058824,5.97420814479638,66.3,5.9558384547849,31.9,32.5,5.94961562457151,5.91356609077198,64.4,5.93378340358238,33.5,25.2,5.93685383244207,5.6013986013986,58.7,5.79361275778575,31.9,24.4,5.9015823392294,5.68135198135198,56.3,5.80539449329163,32.2,19.6,5.85294117647059,5.71861111111111,51.8,5.8137786501997,32.1,19.9,5.90638368983957,5.69842105263158,52.0,5.8294269348112,32.7,13.6,5.98428921568628,5.45952380952381,46.3,5.82837552544074,29.6,11.2,5.83508821060725,5.52937062937063,40.8,5.75074250776672
35.6,37.3,5.8026106601958,5.866132160869,72.9,5.8447571828121,35.9,37.2,5.78471177944862,5.86081871345029,73.1,5.83490368155845,37.0,37.0,5.83169558525595,5.81590643274853,74.0,5.82592248641487,37.9,36.3,5.84708392603129,5.86532954006638,74.2,5.85533262480169,35.7,36.7,5.84817832870464,5.82015805278963,72.4,5.8360230160052,37.5,35.7,5.83692113165797,5.8498688161846,73.2,5.84381730956963,35.9,30.2,5.80107661841408,5.9334791189203,66.1,5.85995636949133,36.0,25.4,5.76780185758514,5.63170163170163,61.4,5.72075268817204,36.0,19.9,5.80337979390611,5.69842105263158,55.9,5.76819978368073,36.5,14.6,5.88188229039622,5.5175626566416,51.1,5.7773467658201,36.8,13.5,5.86006191950464,5.41355311355312,50.3,5.73990218542409
45.2,47.1,5.73927865612648,5.76584934277047,92.3,5.75841573893904,45.4,47.0,5.73166666666667,5.77608695652174,92.4,5.76011942882896,46.0,47.0,5.73259798432251,5.72826086956522,93.0,5.73240625347725,47.7,45.0,5.75263644773358,5.75670803782506,92.7,5.75521520215402,43.8,46.4,5.73121863874639,5.72924901185771,90.2,5.73344019866932,47.4,36.5,5.75108695652174,5.83408906882591,83.9,5.78757034119551,45.0,35.7,5.71309288537549,5.91846348781333,80.7,5.80241114655182,46.0,29.0,5.69431818181818,5.79308524231118,75.0,5.73613066710307,45.6,23.5,5.71035383903793,5.6530343569474,69.1,5.69253407391281,45.8,19.3,5.77289122014522,5.72888888888889,65.1,5.75871528444554,42.6,13.9,5.7423187768463,5.43186813186813,56.5,5.66592841558734
59.6,63.1,6.01299731182796,6.07868712411154,122.7,6.06118170386434,59.8,62.8,6.00375,6.08352150537635,122.6,6.06070400420521,61.8,62.2,6.05799145484934,6.03467741935484,124.0,6.04877104161686,63.7,60.7,6.06597542242703,6.0824842729734,124.4,6.07375578133602,59.7,61.6,6.07547051359113,6.03852150537634,121.3,6.05856089776412,62.7,46.3,6.06024466921815,5.74372340425532,109.0,5.92649614144941,59.8,38.3,6.02981950844854,5.82387514525965,98.1,5.94799682879544,60.3,35.6,5.97593253968254,5.90352662984242,95.9,5.96145794623959,60.3,25.8,6.02077380952381,5.61217948717948,86.1,5.89989030790001,61.7,19.4,6.09011564142404,5.73638888888889,81.1,6.0046610268466,54.8,15.0,5.93947719522092,5.52641456582633,69.8,5.85241195904455
63.2,66.7,5.90005793226382,5.96873621559564,129.9,5.94781158837201,63.8,66.8,5.87794117647059,5.95864527629234,130.6,5.93418203102137,65.8,66.1,5.93245184155216,5.90986425339367,131.9,5.92359962280103,67.6,64.2,5.94688057040999,5.97121739717702,131.8,5.95790832972015,63.6,65.2,5.94640706842178,5.9262443438914,128.8,5.93882965393432,66.6,63.0,5.93969366338911,5.99975851511672,129.6,5.97099145530664,63.8,47.1,5.9015823392294,5.87178064788381,110.9,5.887371106933,64.3,36.8,5.85285338015804,5.8744685242518,101.1,5.8727441001898,64.0,33.6,5.90335949629119,5.93372549019608,97.6,5.91574763959638,65.0,21.7,5.98236592599422,5.7303452570821,86.7,5.9166915574665,66.0,19.2,5.95882352941177,5.68625730994152,85.2,5.8972567333167
87.0,90.2,5.84590814982119,5.88873999807191,177.2,5.87312130728337,87.6,90.2,5.83012422360248,5.88861478351733,177.8,5.86680578076254,88.0,89.9,5.85761632341724,5.84846524106367,177.9,5.85476346329419,91.4,84.0,5.87312692138779,5.88104881691296,175.4,5.8772711342839,83.5,73.1,5.8677737721216,5.82371929824561,156.6,5.85045518797971,90.6,65.8,5.86738160165865,5.91861799673159,156.4,5.89050628853457,81.4,62.6,5.82414162041654,6.06867940535414,144.0,5.93077391991954,71.9,46.8,5.76625799793601,5.77181818181818,118.7,5.77777816441897,71.9,36.3,5.80183593425699,5.86581225188036,108.2,5.8243876881428,72.6,25.3,5.87956943715457,5.68564901764901,97.9,5.82752157689446,73.6,19.4,5.86006191950464,5.67888888888889,93.0,5.82215346813009
115.8,122.1,6.10299111945878,6.17970102281668,237.9,6.15653629634765,116.2,121.8,6.09036641564573,6.17664996994591,238.0,6.1511461182605,119.6,120.2,6.160705762533,6.13463284760026,239.8,6.14987640029259,123.4,117.4,6.16537105587873,6.18892534012788,240.8,6.17619449370219,115.1,118.7,6.1841931793205,6.14258759929812,233.8,6.1645305621028,121.6,85.2,6.15579891759706,5.85937304137513,206.8,6.03493191794169,115.8,65.1,6.13048502483584,5.99787823750331,180.9,6.08178743672104,116.4,62.6,6.07872633223315,6.07707653905234,179.0,6.09115048853105,116.2,37.9,6.12745193124179,5.82019528459157,154.1,6.05282211552459,119.2,31.9,6.19424374661305,5.93228492400095,151.1,6.13877334941856,104.0,19.4,6.04085693879569,5.67888888888889,123.4,5.98404924968266
115.8,122.1,6.10299111945878,6.17970102281668,237.9,6.15653629634765,116.2,121.8,6.09036641564573,6.17664996994591,238.0,6.1511461182605,119.5,120.2,6.16164990100664,6.13463284760026,239.7,6.15034655831793,123.4,117.4,6.16537105587873,6.18892534012788,240.8,6.17619449370219,115.1,118.7,6.1841931793205,6.14258759929812,233.8,6.1645305621028,121.6,118.8,6.15579891759706,6.15149027812905,240.4,6.15538117137677,115.8,82.0,6.13048502483584,5.92899129007526,197.8,6.04673956847936,116.4,66.6,6.07872633223315,5.96540239976588,183.0,6.05052956228423,116.2,46.9,6.12745193124179,5.74680224009687,163.1,6.01869917133055,119.1,33.2,6.19437487695661,5.97960784313726,152.3,6.14669082379109,120.1,22.2,6.17033687743109,5.71022303783173,142.3,6.09869153251295
