forward_num_temp_incr_forward_0.10,reverse_num_temp_incr_forward_0.10,forward_rate_temp_incr_forward_0.10,reverse_rate_temp_incr_forward_0.10,organism_num_temp_incr_forward_0.10,organism_rate_temp_incr_forward_0.10,forward_num_temp_incr_forward_0.15,reverse_num_temp_incr_forward_0.15,forward_rate_temp_incr_forward_0.15,reverse_rate_temp_incr_forward_0.15,organism_num_temp_incr_forward_0.15,organism_rate_temp_incr_forward_0.15,forward_num_temp_incr_forward_0.20,reverse_num_temp_incr_forward_0.20,forward_rate_temp_incr_forward_0.20,reverse_rate_temp_incr_forward_0.20,organism_num_temp_incr_forward_0.20,organism_rate_temp_incr_forward_0.20,forward_num_temp_incr_forward_0.25,reverse_num_temp_incr_forward_0.25,forward_rate_temp_incr_forward_0.25,reverse_rate_temp_incr_forward_0.25,organism_num_temp_incr_forward_0.25,organism_rate_temp_incr_forward_0.25,forward_num_temp_incr_forward_0.30,reverse_num_temp_incr_forward_0.30,forward_rate_temp_incr_forward_0.30,reverse_rate_temp_incr_forward_0.30,organism_num_temp_incr_forward_0.30,organism_rate_temp_incr_forward_0.30,forward_num_temp_incr_forward_0.35,reverse_num_temp_incr_forward_0.35,forward_rate_temp_incr_forward_0.35,reverse_rate_temp_incr_forward_0.35,organism_num_temp_incr_forward_0.35,organism_rate_temp_incr_forward_0.35,forward_num_temp_incr_forward_0.40,reverse_num_temp_incr_forward_0.40,forward_rate_temp_incr_forward_0.40,reverse_rate_temp_incr_forward_0.40,organism_num_temp_incr_forward_0.40,organism_rate_temp_incr_forward_0.40,forward_num_temp_incr_forward_0.45,reverse_num_temp_incr_forward_0.45,forward_rate_temp_incr_forward_0.45,reverse_rate_temp_incr_forward_0.45,organism_num_temp_incr_forward_0.45,organism_rate_temp_incr_forward_0.45,forward_num_temp_incr_forward_0.50,reverse_num_temp_incr_forward_0.50,forward_rate_temp_incr_forward_0.50,reverse_rate_temp_incr_forward_0.50,organism_num_temp_incr_forward_0.50,organism_rate_temp_incr_forward_0.50,forward_num_temp_incr_forward_0.55,reverse_num_temp_incr_forward_0.55,forward_rate_temp_incr_forward_0.55,reverse_rate_temp_incr_forward_0.55,organism_num_temp_incr_forward_0.55,organism_rate_temp_incr_forward_0.55,forward_num_temp_incr_forward_0.60,reverse_num_temp_incr_forward_0.60,forward_rate_temp_incr_forward_0.60,reverse_rate_temp_incr_forward_0.60,organism_num_temp_incr_forward_0.60,organism_rate_temp_incr_forward_0.60
9.9,0.0,5.50555555555556,0.0,9.9,5.50555555555556,9.85,0.0,5.48611111111111,0.0,9.85,5.48611111111111,9.85,0.0,5.54166666666667,0.0,9.85,5.54166666666667,9.85,0.0,5.44722222222222,0.0,9.85,5.44722222222222,9.95,0.0,5.49166666666667,0.0,9.95,5.49166666666667,10.0,0.0,5.5,0.0,10.0,5.5,9.95,0.0,5.49722222222222,0.0,9.95,5.49722222222222,9.7,0.0,5.52916666666667,0.0,9.7,5.52916666666667,9.9,0.0,5.47222222222222,0.0,9.9,5.47222222222222,9.85,0.0,5.46875,0.0,9.85,5.46875,10.0,0.0,5.5,0.0,10.0,5.5
10.9,0.0,5.91818181818182,0.0,10.9,5.91818181818182,10.8,0.0,5.87772727272727,0.0,10.8,5.87772727272727,10.85,0.0,5.95272727272727,0.0,10.85,5.95272727272727,10.75,0.0,5.78136363636364,0.0,10.75,5.78136363636364,10.95,0.0,5.83909090909091,0.0,10.95,5.83909090909091,10.95,0.0,5.80954545454546,0.0,10.95,5.80954545454546,10.95,0.0,5.7159090909091,0.0,10.95,5.7159090909091,10.2,0.0,5.59573232323232,0.0,10.2,5.59573232323232,9.9,0.0,5.47222222222222,0.0,9.9,5.47222222222222,9.85,0.0,5.46875,0.0,9.85,5.46875,10.0,0.0,5.5,0.0,10.0,5.5
10.85,0.0,5.89818181818182,0.0,10.85,5.89818181818182,10.75,0.0,5.87727272727273,0.0,10.75,5.87727272727273,10.85,0.0,5.95272727272727,0.0,10.85,5.95272727272727,10.75,0.0,5.78136363636364,0.0,10.75,5.78136363636364,10.95,0.0,5.83909090909091,0.0,10.95,5.83909090909091,10.95,0.0,5.80954545454546,0.0,10.95,5.80954545454546,10.85,0.0,5.72727272727273,0.0,10.85,5.72727272727273,10.2,0.0,5.59573232323232,0.0,10.2,5.59573232323232,9.9,0.0,5.47222222222222,0.0,9.9,5.47222222222222,9.85,0.0,5.46875,0.0,9.85,5.46875,9.95,0.0,5.49166666666667,0.0,9.95,5.49166666666667
11.8,0.0,6.145,0.0,11.8,6.145,11.75,0.0,6.14424242424243,0.0,11.75,6.14424242424243,11.85,0.0,6.20984848484849,0.0,11.85,6.20984848484849,11.75,0.0,6.05575757575758,0.0,11.75,6.05575757575758,11.95,0.0,6.08257575757576,0.0,11.95,6.08257575757576,11.95,0.0,5.98901515151515,0.0,11.95,5.98901515151515,11.85,0.0,5.84583333333333,0.0,11.85,5.84583333333333,10.9,0.0,5.70166666666667,0.0,10.9,5.70166666666667,9.9,0.0,5.47222222222222,0.0,9.9,5.47222222222222,9.85,0.0,5.46875,0.0,9.85,5.46875,9.95,0.0,5.49166666666667,0.0,9.95,5.49166666666667
11.8,0.0,6.145,0.0,11.8,6.145,11.75,0.0,6.14424242424243,0.0,11.75,6.14424242424243,11.85,0.0,6.20984848484849,0.0,11.85,6.20984848484849,11.75,0.0,6.05575757575758,0.0,11.75,6.05575757575758,11.95,0.0,6.08257575757576,0.0,11.95,6.08257575757576,11.95,0.0,5.98901515151515,0.0,11.95,5.98901515151515,11.8,0.0,5.83628787878788,0.0,11.8,5.83628787878788,11.05,0.0,5.70848484848485,0.0,11.05,5.70848484848485,9.9,0.0,5.47222222222222,0.0,9.9,5.47222222222222,9.85,0.0,5.46875,0.0,9.85,5.46875,9.95,0.0,5.49166666666667,0.0,9.95,5.49166666666667
11.75,0.0,6.12757575757576,0.0,11.75,6.12757575757576,11.75,0.0,6.14424242424243,0.0,11.75,6.14424242424243,11.85,0.0,6.20984848484849,0.0,11.85,6.20984848484849,11.75,0.0,6.05575757575758,0.0,11.75,6.05575757575758,11.9,0.0,6.08295454545455,0.0,11.9,6.08295454545455,11.9,0.0,5.96969696969697,0.0,11.9,5.96969696969697,11.8,0.0,5.83628787878788,0.0,11.8,5.83628787878788,11.05,0.0,5.70848484848485,0.0,11.05,5.70848484848485,9.9,0.0,5.47222222222222,0.0,9.9,5.47222222222222,9.8,0.0,5.48819444444444,0.0,9.8,5.48819444444444,9.95,0.0,5.49166666666667,0.0,9.95,5.49166666666667
12.75,0.0,6.27517482517482,0.0,12.75,6.27517482517482,12.75,0.0,6.29047202797203,0.0,12.75,6.29047202797203,12.85,0.0,6.34903846153846,0.0,12.85,6.34903846153846,12.75,0.0,6.20198135198135,0.0,12.75,6.20198135198135,12.9,0.0,6.2,0.0,12.9,6.2,12.9,0.0,6.09711538461539,0.0,12.9,6.09711538461539,12.7,0.0,5.89240675990676,0.0,12.7,5.89240675990676,11.95,0.0,5.75681818181818,0.0,11.95,5.75681818181818,9.9,0.0,5.47222222222222,0.0,9.9,5.47222222222222,9.8,0.0,5.48819444444444,0.0,9.8,5.48819444444444,9.95,0.0,5.49166666666667,0.0,9.95,5.49166666666667
12.75,0.0,6.27517482517482,0.0,12.75,6.27517482517482,12.75,0.0,6.29047202797203,0.0,12.75,6.29047202797203,12.85,0.0,6.34903846153846,0.0,12.85,6.34903846153846,12.75,0.0,6.20198135198135,0.0,12.75,6.20198135198135,12.9,0.0,6.2,0.0,12.9,6.2,12.9,0.0,6.09711538461539,0.0,12.9,6.09711538461539,12.7,0.0,5.89240675990676,0.0,12.7,5.89240675990676,11.95,0.0,5.75681818181818,0.0,11.95,5.75681818181818,9.9,0.0,5.47222222222222,0.0,9.9,5.47222222222222,9.8,0.0,5.48819444444444,0.0,9.8,5.48819444444444,9.95,0.0,5.49166666666667,0.0,9.95,5.49166666666667
12.75,0.0,6.27517482517482,0.0,12.75,6.27517482517482,12.75,0.0,6.29047202797203,0.0,12.75,6.29047202797203,12.85,0.0,6.34903846153846,0.0,12.85,6.34903846153846,12.75,0.0,6.20198135198135,0.0,12.75,6.20198135198135,12.9,0.0,6.2,0.0,12.9,6.2,12.9,0.0,6.09711538461539,0.0,12.9,6.09711538461539,12.7,0.0,5.89240675990676,0.0,12.7,5.89240675990676,11.95,0.0,5.75681818181818,0.0,11.95,5.75681818181818,9.85,0.0,5.46944444444444,0.0,9.85,5.46944444444444,9.75,0.0,5.46319444444444,0.0,9.75,5.46319444444444,9.95,0.0,5.49166666666667,0.0,9.95,5.49166666666667
13.75,0.0,6.32825091575092,0.0,13.75,6.32825091575092,13.75,0.0,6.34244505494506,0.0,13.75,6.34244505494506,13.85,0.0,6.39587912087912,0.0,13.85,6.39587912087912,13.4,0.0,6.25672660672661,0.0,13.4,6.25672660672661,13.05,0.0,6.2010989010989,0.0,13.05,6.2010989010989,12.9,0.0,6.09711538461539,0.0,12.9,6.09711538461539,12.7,0.0,5.89240675990676,0.0,12.7,5.89240675990676,11.95,0.0,5.75681818181818,0.0,11.95,5.75681818181818,9.85,0.0,5.46944444444444,0.0,9.85,5.46944444444444,9.75,0.0,5.46319444444444,0.0,9.75,5.46319444444444,9.95,0.0,5.49166666666667,0.0,9.95,5.49166666666667
