forward_num_temp_incr_mut_forward_0.25,reverse_num_temp_incr_mut_forward_0.25,forward_rate_temp_incr_mut_forward_0.25,reverse_rate_temp_incr_mut_forward_0.25,organism_num_temp_incr_mut_forward_0.25,organism_rate_temp_incr_mut_forward_0.25,forward_num_temp_incr_mut_forward_0.45,reverse_num_temp_incr_mut_forward_0.45,forward_rate_temp_incr_mut_forward_0.45,reverse_rate_temp_incr_mut_forward_0.45,organism_num_temp_incr_mut_forward_0.45,organism_rate_temp_incr_mut_forward_0.45,forward_num_temp_incr_mut_forward_0.60,reverse_num_temp_incr_mut_forward_0.60,forward_rate_temp_incr_mut_forward_0.60,reverse_rate_temp_incr_mut_forward_0.60,organism_num_temp_incr_mut_forward_0.60,organism_rate_temp_incr_mut_forward_0.60,forward_num_temp_incr_mut_forward_0.15,reverse_num_temp_incr_mut_forward_0.15,forward_rate_temp_incr_mut_forward_0.15,reverse_rate_temp_incr_mut_forward_0.15,organism_num_temp_incr_mut_forward_0.15,organism_rate_temp_incr_mut_forward_0.15,forward_num_temp_incr_mut_forward_0.30,reverse_num_temp_incr_mut_forward_0.30,forward_rate_temp_incr_mut_forward_0.30,reverse_rate_temp_incr_mut_forward_0.30,organism_num_temp_incr_mut_forward_0.30,organism_rate_temp_incr_mut_forward_0.30,forward_num_temp_incr_mut_forward_0.50,reverse_num_temp_incr_mut_forward_0.50,forward_rate_temp_incr_mut_forward_0.50,reverse_rate_temp_incr_mut_forward_0.50,organism_num_temp_incr_mut_forward_0.50,organism_rate_temp_incr_mut_forward_0.50,forward_num_temp_incr_mut_forward_0.40,reverse_num_temp_incr_mut_forward_0.40,forward_rate_temp_incr_mut_forward_0.40,reverse_rate_temp_incr_mut_forward_0.40,organism_num_temp_incr_mut_forward_0.40,organism_rate_temp_incr_mut_forward_0.40,forward_num_temp_incr_mut_forward_0.20,reverse_num_temp_incr_mut_forward_0.20,forward_rate_temp_incr_mut_forward_0.20,reverse_rate_temp_incr_mut_forward_0.20,organism_num_temp_incr_mut_forward_0.20,organism_rate_temp_incr_mut_forward_0.20,forward_num_temp_incr_mut_forward_0.10,reverse_num_temp_incr_mut_forward_0.10,forward_rate_temp_incr_mut_forward_0.10,reverse_rate_temp_incr_mut_forward_0.10,organism_num_temp_incr_mut_forward_0.10,organism_rate_temp_incr_mut_forward_0.10,forward_num_temp_incr_mut_forward_0.35,reverse_num_temp_incr_mut_forward_0.35,forward_rate_temp_incr_mut_forward_0.35,reverse_rate_temp_incr_mut_forward_0.35,organism_num_temp_incr_mut_forward_0.35,organism_rate_temp_incr_mut_forward_0.35,forward_num_temp_incr_mut_forward_0.55,reverse_num_temp_incr_mut_forward_0.55,forward_rate_temp_incr_mut_forward_0.55,reverse_rate_temp_incr_mut_forward_0.55,organism_num_temp_incr_mut_forward_0.55,organism_rate_temp_incr_mut_forward_0.55
11.9,0.0,5.62142191142191,0.0,11.9,5.62142191142191,12.5,0.0,5.8224691974692,0.0,12.5,5.8224691974692,12.5,0.0,5.60934398934399,0.0,12.5,5.60934398934399,12.3,0.0,5.76417748917749,0.0,12.3,5.76417748917749,13.0,0.0,5.81198801198801,0.0,13.0,5.81198801198801,12.4,0.0,5.60827505827506,0.0,12.4,5.60827505827506,12.5,0.0,5.73594322344322,0.0,12.5,5.73594322344322,13.2,0.0,5.72501831501832,0.0,13.2,5.72501831501832,12.3,0.0,6.00228937728938,0.0,12.3,6.00228937728938,12.4,0.0,5.74915084915085,0.0,12.4,5.74915084915085,12.1,0.0,5.72389277389277,0.0,12.1,5.72389277389277
12.2,0.0,5.68186147186147,0.0,12.2,5.68186147186147,12.8,0.0,5.83470695970696,0.0,12.8,5.83470695970696,12.9,0.0,5.65906801531802,0.0,12.9,5.65906801531802,12.6,0.0,5.81662337662338,0.0,12.6,5.81662337662338,13.3,0.0,5.75498667998668,0.0,13.3,5.75498667998668,12.7,0.0,5.61056443556443,0.0,12.7,5.61056443556443,12.8,0.0,5.7616990852285,0.0,12.8,5.7616990852285,13.4,0.0,5.7721978021978,0.0,13.4,5.7721978021978,12.4,0.0,6.03228937728938,0.0,12.4,6.03228937728938,12.6,0.0,5.75924242424242,0.0,12.6,5.75924242424242,12.5,0.0,5.71176323676324,0.0,12.5,5.71176323676324
12.5,0.0,5.7051948051948,0.0,12.5,5.7051948051948,13.1,0.0,5.83694139194139,0.0,13.1,5.83694139194139,13.1,0.0,5.65577797202797,0.0,13.1,5.65577797202797,12.7,0.0,5.84290542790543,0.0,12.7,5.84290542790543,13.5,0.0,5.75054945054945,0.0,13.5,5.75054945054945,12.8,0.0,5.58139776889777,0.0,12.8,5.58139776889777,13.3,0.0,5.73281630134571,0.0,13.3,5.73281630134571,13.6,0.0,5.74470154845155,0.0,13.6,5.74470154845155,12.4,0.0,6.03228937728938,0.0,12.4,6.03228937728938,12.9,0.0,5.73278554778555,0.0,12.9,5.73278554778555,12.6,0.0,5.71432733932734,0.0,12.6,5.71432733932734
12.9,0.0,5.63479187479187,0.0,12.9,5.63479187479187,13.1,0.0,5.78794871794872,0.0,13.1,5.78794871794872,13.5,0.0,5.66256170300288,0.0,13.5,5.66256170300288,13.0,0.0,5.93411421911422,0.0,13.0,5.93411421911422,13.5,0.0,5.75054945054945,0.0,13.5,5.75054945054945,13.0,0.0,5.56034896476073,0.0,13.0,5.56034896476073,13.5,0.0,5.76518393371335,0.0,13.5,5.76518393371335,13.8,0.0,5.78800824175824,0.0,13.8,5.78800824175824,12.8,0.0,6.03483183483184,0.0,12.8,6.03483183483184,13.4,0.0,5.73166833166833,0.0,13.4,5.73166833166833,13.0,0.0,5.70571428571428,0.0,13.0,5.70571428571428
13.3,0.0,5.69318348318348,0.0,13.3,5.69318348318348,13.3,0.0,5.78959706959707,0.0,13.3,5.78959706959707,13.6,0.0,5.62650775694893,0.0,13.6,5.62650775694893,13.3,0.0,5.90535964035964,0.0,13.3,5.90535964035964,13.7,0.0,5.79720695970696,0.0,13.7,5.79720695970696,13.1,0.0,5.5611065405183,0.0,13.1,5.5611065405183,13.7,0.0,5.79490421343362,0.0,13.7,5.79490421343362,13.9,0.0,5.80217490842491,0.0,13.9,5.80217490842491,13.2,0.0,6.02713952713953,0.0,13.2,6.02713952713953,13.4,0.0,5.73166833166833,0.0,13.4,5.73166833166833,13.1,0.0,5.70029761904762,0.0,13.1,5.70029761904762
13.6,0.0,5.70521645021645,0.0,13.6,5.70521645021645,13.5,0.0,5.79470695970696,0.0,13.5,5.79470695970696,14.0,0.0,5.59556193806194,0.0,14.0,5.59556193806194,13.4,0.0,5.90611721611722,0.0,13.4,5.90611721611722,13.8,0.0,5.80682234432234,0.0,13.8,5.80682234432234,13.4,0.0,5.54907690348867,0.0,13.4,5.54907690348867,14.1,0.0,5.79979432332373,0.0,14.1,5.79979432332373,14.4,0.0,5.88646062271062,0.0,14.4,5.88646062271062,13.9,0.0,6.07370879120879,0.0,13.9,6.07370879120879,13.8,0.0,5.71078921078921,0.0,13.8,5.71078921078921,13.3,0.0,5.69249542124542,0.0,13.3,5.69249542124542
14.2,0.0,5.73891483516484,0.0,14.2,5.73891483516484,13.9,0.0,5.83812271062271,0.0,13.9,5.83812271062271,14.4,0.0,5.5959786047286,0.0,14.4,5.5959786047286,13.8,0.0,5.97467032967033,0.0,13.8,5.97467032967033,14.1,0.0,5.85658424908425,0.0,14.1,5.85658424908425,13.6,0.0,5.55713551154727,0.0,13.6,5.55713551154727,14.3,0.0,5.79711575189516,0.0,14.3,5.79711575189516,14.7,0.0,5.87342490842491,0.0,14.7,5.87342490842491,14.0,0.0,6.07418498168498,0.0,14.0,6.07418498168498,14.1,0.0,5.73793206793207,0.0,14.1,5.73793206793207,13.8,0.0,5.64476405946994,0.0,13.8,5.64476405946994
14.4,0.0,5.77078296703297,0.0,14.4,5.77078296703297,14.1,0.0,5.84635800474036,0.0,14.1,5.84635800474036,14.6,0.0,5.56854270729271,0.0,14.6,5.56854270729271,13.9,0.0,5.981336996337,0.0,13.9,5.981336996337,14.4,0.0,5.89475274725275,0.0,14.4,5.89475274725275,13.9,0.0,5.55590174531351,0.0,13.9,5.55590174531351,14.7,0.0,5.79950657185951,0.0,14.7,5.79950657185951,14.9,0.0,5.89217490842491,0.0,14.9,5.89217490842491,14.4,0.0,6.05625,0.0,14.4,6.05625,14.7,0.0,5.76571428571429,0.0,14.7,5.76571428571429,14.0,0.0,5.65350864821453,0.0,14.0,5.65350864821453
14.7,0.0,5.81931588019823,0.0,14.7,5.81931588019823,14.5,0.0,5.86067577030812,0.0,14.5,5.86067577030812,14.7,0.0,5.56759032634033,0.0,14.7,5.56759032634033,14.7,0.0,6.05975732600732,0.0,14.7,6.05975732600732,14.7,0.0,5.91885989010989,0.0,14.7,5.91885989010989,14.1,0.0,5.53436328377505,0.0,14.1,5.53436328377505,15.0,0.0,5.7736045572075,0.0,15.0,5.7736045572075,15.0,0.0,5.91909798534799,0.0,15.0,5.91909798534799,14.5,0.0,6.07005952380952,0.0,14.5,6.07005952380952,14.9,0.0,5.74071428571429,0.0,14.9,5.74071428571429,14.2,0.0,5.63262120232709,0.0,14.2,5.63262120232709
15.1,0.0,5.84061489980608,0.0,15.1,5.84061489980608,14.6,0.0,5.8768662464986,0.0,14.6,5.8768662464986,14.7,0.0,5.56759032634033,0.0,14.7,5.56759032634033,15.0,0.0,6.07657509157509,0.0,15.0,6.07657509157509,14.8,0.0,5.93260989010989,0.0,14.8,5.93260989010989,14.2,0.0,5.5877149321267,0.0,14.2,5.5877149321267,15.2,0.0,5.80794979530273,0.0,15.2,5.80794979530273,15.1,0.0,5.91909798534799,0.0,15.1,5.91909798534799,15.0,0.0,6.07261904761905,0.0,15.0,6.07261904761905,15.4,0.0,5.77660229476406,0.0,15.4,5.77660229476406,14.4,0.0,5.60322559793148,0.0,14.4,5.60322559793148
