forward_num_strict_compet_mut_0.10,reverse_num_strict_compet_mut_0.10,forward_rate_strict_compet_mut_0.10,reverse_rate_strict_compet_mut_0.10,organism_num_strict_compet_mut_0.10,organism_rate_strict_compet_mut_0.10,forward_num_strict_compet_mut_0.15,reverse_num_strict_compet_mut_0.15,forward_rate_strict_compet_mut_0.15,reverse_rate_strict_compet_mut_0.15,organism_num_strict_compet_mut_0.15,organism_rate_strict_compet_mut_0.15,forward_num_strict_compet_mut_0.20,reverse_num_strict_compet_mut_0.20,forward_rate_strict_compet_mut_0.20,reverse_rate_strict_compet_mut_0.20,organism_num_strict_compet_mut_0.20,organism_rate_strict_compet_mut_0.20,forward_num_strict_compet_mut_0.25,reverse_num_strict_compet_mut_0.25,forward_rate_strict_compet_mut_0.25,reverse_rate_strict_compet_mut_0.25,organism_num_strict_compet_mut_0.25,organism_rate_strict_compet_mut_0.25,forward_num_strict_compet_mut_0.30,reverse_num_strict_compet_mut_0.30,forward_rate_strict_compet_mut_0.30,reverse_rate_strict_compet_mut_0.30,organism_num_strict_compet_mut_0.30,organism_rate_strict_compet_mut_0.30,forward_num_strict_compet_mut_0.35,reverse_num_strict_compet_mut_0.35,forward_rate_strict_compet_mut_0.35,reverse_rate_strict_compet_mut_0.35,organism_num_strict_compet_mut_0.35,organism_rate_strict_compet_mut_0.35,forward_num_strict_compet_mut_0.40,reverse_num_strict_compet_mut_0.40,forward_rate_strict_compet_mut_0.40,reverse_rate_strict_compet_mut_0.40,organism_num_strict_compet_mut_0.40,organism_rate_strict_compet_mut_0.40,forward_num_strict_compet_mut_0.45,reverse_num_strict_compet_mut_0.45,forward_rate_strict_compet_mut_0.45,reverse_rate_strict_compet_mut_0.45,organism_num_strict_compet_mut_0.45,organism_rate_strict_compet_mut_0.45,forward_num_strict_compet_mut_0.50,reverse_num_strict_compet_mut_0.50,forward_rate_strict_compet_mut_0.50,reverse_rate_strict_compet_mut_0.50,organism_num_strict_compet_mut_0.50,organism_rate_strict_compet_mut_0.50,forward_num_strict_compet_mut_0.55,reverse_num_strict_compet_mut_0.55,forward_rate_strict_compet_mut_0.55,reverse_rate_strict_compet_mut_0.55,organism_num_strict_compet_mut_0.55,organism_rate_strict_compet_mut_0.55,forward_num_strict_compet_mut_0.60,reverse_num_strict_compet_mut_0.60,forward_rate_strict_compet_mut_0.60,reverse_rate_strict_compet_mut_0.60,organism_num_strict_compet_mut_0.60,organism_rate_strict_compet_mut_0.60
500.0,500.0,5.5,5.5,1000.0,5.5,500.0,500.0,5.5,5.5,1000.0,5.5,500.0,500.0,5.5,5.5,1000.0,5.5,500.0,500.0,5.5,5.5,1000.0,5.5,500.0,500.0,5.5,5.5,1000.0,5.5,500.0,500.0,5.5,5.5,1000.0,5.5,500.0,500.0,5.5,5.5,1000.0,5.5,500.0,500.0,5.5,5.5,1000.0,5.5,500.0,500.0,5.5,5.5,1000.0,5.5,500.0,500.0,5.5,5.5,1000.0,5.5,500.0,500.0,5.5,5.5,1000.0,5.5
494.9,495.3,5.5005148636529,5.49768610841487,990.2,5.49909621066486,494.8,495.5,5.50279390167487,5.49420888134804,990.3,5.49852986655111,494.1,494.6,5.50800980039063,5.50141791641068,988.7,5.50470910814613,494.0,495.6,5.50850412360606,5.49979011245435,989.6,5.50414173972659,494.2,495.2,5.5066733383188,5.49939350883916,989.4,5.50303439704718,495.8,494.8,5.49978535077816,5.50199291082525,990.6,5.50090695967645,495.0,493.8,5.49493389596758,5.50485305897278,988.8,5.49990063416618,494.4,494.7,5.50628391621439,5.49748538281629,989.1,5.50186793294329,494.2,495.3,5.49352305178981,5.50009740251965,989.5,5.49681679879635,493.6,495.4,5.49594236006324,5.50079906491781,989.0,5.49838341853284,495.2,494.6,5.49476122605116,5.50063522920165,989.8,5.49768530813094
492.8,493.3,5.4991770823815,5.49567414835455,986.1,5.49742243621169,492.5,493.1,5.50048393071543,5.49804006972454,985.6,5.49928635632438,492.1,493.5,5.50985435427267,5.50170777744188,985.6,5.50577416923497,491.6,493.7,5.50916921550088,5.49888270759011,985.3,5.5040108752196,492.0,493.3,5.50749989926616,5.5019273742121,985.3,5.5047190912677,494.0,492.6,5.49714618645798,5.5001930337451,986.6,5.49868329957372,492.2,492.2,5.4932592375957,5.50549852791038,984.4,5.49939446788397,492.5,492.5,5.50618251993436,5.49685675563911,985.0,5.50150954187176,492.4,493.4,5.49326651955073,5.4977712530651,985.8,5.49553690684573,492.1,494.0,5.49562942850218,5.50079867235005,986.1,5.49822673806613,493.5,492.4,5.49303547937055,5.5004288947131,985.9,5.49671191433444
543.1,455.3,6.01804625998203,5.50117104166541,998.4,5.78236579856178,542.3,455.7,6.06286562370202,5.51024591170097,998.0,5.81082106653239,546.7,452.1,6.04125088289478,5.50143904367039,998.8,5.79695356679324,544.0,454.3,6.01283301982091,5.50433533540324,998.3,5.78142643738531,544.2,454.2,5.94589608464321,5.48893499799758,998.4,5.73798588167326,547.2,451.1,5.82827833551573,5.49631800035378,998.3,5.67834390420633,547.8,450.7,5.55519888491699,5.48478142921148,998.5,5.52340097508016,543.6,454.7,5.34309736844496,5.5018710717737,998.3,5.41540656511089,539.9,458.3,5.21064057020294,5.49463542553578,998.2,5.34102723519328,542.0,456.2,5.21567657559189,5.50029573962197,998.2,5.34541445152266,540.6,457.5,5.23728501838832,5.49192271235956,998.1,5.35396742915703
582.7,415.7,6.09507205513326,5.51643193310335,998.4,5.85425291513426,579.2,419.3,6.15200385688617,5.5198937099712,998.5,5.88672457137833,585.0,412.9,6.14068920490161,5.50298932867515,997.9,5.8771628644067,582.1,416.5,6.08887695158669,5.47140787806726,998.6,5.83146238108912,579.2,418.8,6.03319887568028,5.4931625657777,998.0,5.80633125825694,583.1,414.9,5.9423561775719,5.4891408807672,998.0,5.75390952345945,585.3,412.8,5.6700856933239,5.43746774043006,998.1,5.57377972048868,582.2,416.3,5.25640070817386,5.5262021349488,998.5,5.36874721499392,576.5,421.5,4.96234975726862,5.46977335433877,998.0,5.17646882635624,579.5,419.1,4.70045972691967,5.50537301841412,998.6,5.03815177903354,578.8,419.2,4.71906886619722,5.50514869577293,998.0,5.04893458817505
617.6,380.8,6.21511775545973,5.51253839058558,998.4,5.94712988677467,612.6,385.5,6.29851801206735,5.53851948200831,998.1,6.00499344242835,616.9,381.3,6.25456739490066,5.4976769594318,998.2,5.96573856556905,615.4,383.0,6.2102757995375,5.47181184028444,998.4,5.92708928297829,612.0,386.1,6.1497555668543,5.48008393755637,998.1,5.89046836135899,615.4,382.7,5.98094039297385,5.48234859934765,998.1,5.78978181784577,621.9,376.7,5.63218436305498,5.41755737219185,998.6,5.5513677003657,614.5,383.6,5.21291090572227,5.53563018684586,998.1,5.33684333798915,612.2,386.6,4.88330525102574,5.45419780373235,998.8,5.10442285973348,613.8,383.7,4.9253324410167,5.51820652131338,997.5,5.15339161141044,613.3,385.1,4.97325382636865,5.53126750344384,998.4,5.18868628123004
648.3,349.6,6.23221799037705,5.50102830077137,997.9,5.97581848100125,642.9,355.3,6.29827210325523,5.54250835973028,998.2,6.02897202197731,646.3,351.6,6.251347056265,5.4820753920013,997.9,5.98085175524002,645.1,353.4,6.20265149103947,5.46322230218001,998.5,5.94092128200345,643.2,355.3,6.15393356919284,5.49140879867575,998.5,5.9177739761498,647.9,350.5,5.98022675258833,5.46310239533014,998.4,5.7987753945305,653.9,344.5,5.55109607615012,5.43184248756334,998.4,5.51012816675145,649.8,348.5,5.09264544288218,5.53395136014687,998.3,5.24641435022196,643.9,354.5,4.88249006169063,5.45286093106472,998.4,5.08533517417012,645.3,353.2,5.01189051376279,5.51838476647847,998.5,5.19128206362675,643.3,355.2,5.11324243718982,5.53023241423732,998.5,5.26220117913505
667.9,330.4,6.29230593494846,5.46536554525873,998.3,6.01846343651581,661.7,336.2,6.3344432841377,5.4895495272731,997.9,6.04911850100264,668.9,329.2,6.30562012440581,5.45277704732673,998.1,6.02454829176668,663.9,333.8,6.22042915530479,5.43398651951163,997.7,5.95676804745331,661.5,336.9,6.1434984498118,5.41715359748726,998.4,5.89793167851018,669.7,328.2,5.9906765667326,5.41248335814209,997.9,5.80079481586179,673.9,324.6,5.53079223801561,5.41323311696196,998.5,5.49174444986068,661.8,336.5,5.0049087634138,5.48407682487046,998.3,5.16618472844238,656.7,341.4,4.79177940174917,5.42902154459882,998.1,5.00911863345044,662.3,336.3,4.90273726655341,5.63680483126568,998.6,5.15263405245596,660.9,337.2,4.9740645685419,5.34415361941856,998.1,5.09725940556348
687.6,310.7,6.39500085734042,5.40989502270515,998.3,6.0877560837028,683.8,314.3,6.45719956708679,5.42483004246814,998.1,6.13167163000139,694.8,303.2,6.39918022330964,5.43254312196901,998.0,6.10560104200816,681.1,317.3,6.30337259170718,5.37008770032737,998.4,6.00600620660741,681.7,316.5,6.26141308672702,5.37294123533729,998.2,5.97946453145568,688.8,309.7,6.02054226605845,5.36770318422247,998.5,5.81782269190878,697.1,301.3,5.52691882782411,5.38016550362738,998.4,5.48155537107477,684.6,313.7,4.98543674182161,5.49079829990755,998.3,5.1435288265031,683.8,314.5,4.7799116966844,5.46922781204107,998.3,4.99618957333182,686.5,311.9,4.74570703729244,5.64847785858345,998.4,5.03045740890467,688.9,309.3,4.81867987503639,5.36003503715264,998.2,4.98486764101122
708.2,290.2,6.46184983231544,5.36592316285073,998.4,6.14179972521475,702.5,295.7,6.53481294566996,5.35554862034803,998.2,6.18552578763664,715.1,283.0,6.47336438541635,5.38176843690719,998.1,6.16352563899211,700.1,298.3,6.35936208565615,5.28860982881871,998.4,6.03833191386211,695.8,302.8,6.33644702638018,5.27524220303754,998.6,6.01371110589548,707.2,290.9,6.10114411576172,5.32262652286007,998.1,5.87344406965819,714.7,283.7,5.52928116317345,5.3271217188021,998.4,5.47002135474442,701.5,296.4,4.94290360917166,5.47889959773251,997.9,5.10189524070797,700.6,297.9,4.70336515873047,5.48686581894054,998.5,4.93690744692106,699.7,298.2,4.88405839229701,5.73644154328781,997.9,5.14142107510468,703.6,294.7,4.93947292451845,5.51040128747818,998.3,5.10711717178391
