forward_num_temp_incr_nomut_forward_0.45,reverse_num_temp_incr_nomut_forward_0.45,forward_rate_temp_incr_nomut_forward_0.45,reverse_rate_temp_incr_nomut_forward_0.45,organism_num_temp_incr_nomut_forward_0.45,organism_rate_temp_incr_nomut_forward_0.45,forward_num_temp_incr_nomut_forward_0.15,reverse_num_temp_incr_nomut_forward_0.15,forward_rate_temp_incr_nomut_forward_0.15,reverse_rate_temp_incr_nomut_forward_0.15,organism_num_temp_incr_nomut_forward_0.15,organism_rate_temp_incr_nomut_forward_0.15,forward_num_temp_incr_nomut_forward_0.35,reverse_num_temp_incr_nomut_forward_0.35,forward_rate_temp_incr_nomut_forward_0.35,reverse_rate_temp_incr_nomut_forward_0.35,organism_num_temp_incr_nomut_forward_0.35,organism_rate_temp_incr_nomut_forward_0.35,forward_num_temp_incr_nomut_forward_0.55,reverse_num_temp_incr_nomut_forward_0.55,forward_rate_temp_incr_nomut_forward_0.55,reverse_rate_temp_incr_nomut_forward_0.55,organism_num_temp_incr_nomut_forward_0.55,organism_rate_temp_incr_nomut_forward_0.55,forward_num_temp_incr_nomut_forward_0.25,reverse_num_temp_incr_nomut_forward_0.25,forward_rate_temp_incr_nomut_forward_0.25,reverse_rate_temp_incr_nomut_forward_0.25,organism_num_temp_incr_nomut_forward_0.25,organism_rate_temp_incr_nomut_forward_0.25,forward_num_temp_incr_nomut_forward_0.40,reverse_num_temp_incr_nomut_forward_0.40,forward_rate_temp_incr_nomut_forward_0.40,reverse_rate_temp_incr_nomut_forward_0.40,organism_num_temp_incr_nomut_forward_0.40,organism_rate_temp_incr_nomut_forward_0.40,forward_num_temp_incr_nomut_forward_0.60,reverse_num_temp_incr_nomut_forward_0.60,forward_rate_temp_incr_nomut_forward_0.60,reverse_rate_temp_incr_nomut_forward_0.60,organism_num_temp_incr_nomut_forward_0.60,organism_rate_temp_incr_nomut_forward_0.60,forward_num_temp_incr_nomut_forward_0.10,reverse_num_temp_incr_nomut_forward_0.10,forward_rate_temp_incr_nomut_forward_0.10,reverse_rate_temp_incr_nomut_forward_0.10,organism_num_temp_incr_nomut_forward_0.10,organism_rate_temp_incr_nomut_forward_0.10,forward_num_temp_incr_nomut_forward_0.30,reverse_num_temp_incr_nomut_forward_0.30,forward_rate_temp_incr_nomut_forward_0.30,reverse_rate_temp_incr_nomut_forward_0.30,organism_num_temp_incr_nomut_forward_0.30,organism_rate_temp_incr_nomut_forward_0.30,forward_num_temp_incr_nomut_forward_0.50,reverse_num_temp_incr_nomut_forward_0.50,forward_rate_temp_incr_nomut_forward_0.50,reverse_rate_temp_incr_nomut_forward_0.50,organism_num_temp_incr_nomut_forward_0.50,organism_rate_temp_incr_nomut_forward_0.50,forward_num_temp_incr_nomut_forward_0.20,reverse_num_temp_incr_nomut_forward_0.20,forward_rate_temp_incr_nomut_forward_0.20,reverse_rate_temp_incr_nomut_forward_0.20,organism_num_temp_incr_nomut_forward_0.20,organism_rate_temp_incr_nomut_forward_0.20
10.0,0.0,5.5,0.0,10.0,5.5,10.0,0.0,5.5,0.0,10.0,5.5,10.0,0.0,5.5,0.0,10.0,5.5,10.0,0.0,5.5,0.0,10.0,5.5,10.0,0.0,5.5,0.0,10.0,5.5,10.0,0.0,5.5,0.0,10.0,5.5,10.0,0.0,5.5,0.0,10.0,5.5,10.0,0.0,5.5,0.0,10.0,5.5,10.0,0.0,5.5,0.0,10.0,5.5,10.0,0.0,5.5,0.0,10.0,5.5,10.0,0.0,5.5,0.0,10.0,5.5
10.1,0.0,5.54090909090909,0.0,10.1,5.54090909090909,10.0,0.0,5.5,0.0,10.0,5.5,10.0,0.0,5.5,0.0,10.0,5.5,10.1,0.0,5.50454545454545,0.0,10.1,5.50454545454545,10.2,0.0,5.52727272727273,0.0,10.2,5.52727272727273,10.3,0.0,5.54848484848485,0.0,10.3,5.54848484848485,10.2,0.0,5.57272727272727,0.0,10.2,5.57272727272727,10.1,0.0,5.53181818181818,0.0,10.1,5.53181818181818,10.1,0.0,5.52272727272727,0.0,10.1,5.52272727272727,10.3,0.0,5.57727272727273,0.0,10.3,5.57727272727273,10.0,0.0,5.5,0.0,10.0,5.5
10.2,0.0,5.56363636363636,0.0,10.2,5.56363636363636,10.2,0.0,5.51818181818182,0.0,10.2,5.51818181818182,10.1,0.0,5.51363636363636,0.0,10.1,5.51363636363636,10.2,0.0,5.47272727272727,0.0,10.2,5.47272727272727,10.5,0.0,5.51363636363637,0.0,10.5,5.51363636363637,10.8,0.0,5.59230769230769,0.0,10.8,5.59230769230769,10.7,0.0,5.54090909090909,0.0,10.7,5.54090909090909,10.3,0.0,5.54090909090909,0.0,10.3,5.54090909090909,10.6,0.0,5.56060606060606,0.0,10.6,5.56060606060606,10.4,0.0,5.63181818181818,0.0,10.4,5.63181818181818,10.3,0.0,5.48636363636364,0.0,10.3,5.48636363636364
10.3,0.0,5.56818181818182,0.0,10.3,5.56818181818182,10.7,0.0,5.55,0.0,10.7,5.55,10.4,0.0,5.54545454545455,0.0,10.4,5.54545454545455,10.6,0.0,5.5219696969697,0.0,10.6,5.5219696969697,10.7,0.0,5.51212121212121,0.0,10.7,5.51212121212121,11.0,0.0,5.57867132867133,0.0,11.0,5.57867132867133,10.9,0.0,5.55227272727273,0.0,10.9,5.55227272727273,10.4,0.0,5.53636363636364,0.0,10.4,5.53636363636364,10.7,0.0,5.56363636363636,0.0,10.7,5.56363636363636,10.5,0.0,5.66060606060606,0.0,10.5,5.66060606060606,10.4,0.0,5.51818181818182,0.0,10.4,5.51818181818182
10.4,0.0,5.57272727272727,0.0,10.4,5.57272727272727,11.3,0.0,5.6002331002331,0.0,11.3,5.6002331002331,10.4,0.0,5.55545454545455,0.0,10.4,5.55545454545455,10.8,0.0,5.53863636363636,0.0,10.8,5.53863636363636,11.1,0.0,5.52727272727273,0.0,11.1,5.52727272727273,11.3,0.0,5.64166666666667,0.0,11.3,5.64166666666667,11.2,0.0,5.58636363636364,0.0,11.2,5.58636363636364,10.8,0.0,5.59924242424242,0.0,10.8,5.59924242424242,11.0,0.0,5.58502331002331,0.0,11.0,5.58502331002331,10.6,0.0,5.60151515151515,0.0,10.6,5.60151515151515,10.7,0.0,5.5719696969697,0.0,10.7,5.5719696969697
10.4,0.0,5.57272727272727,0.0,10.4,5.57272727272727,11.5,0.0,5.62540792540793,0.0,11.5,5.62540792540793,10.4,0.0,5.55545454545455,0.0,10.4,5.55545454545455,10.9,0.0,5.57045454545455,0.0,10.9,5.57045454545455,11.6,0.0,5.55530303030303,0.0,11.6,5.55530303030303,11.6,0.0,5.65215617715618,0.0,11.6,5.65215617715618,11.4,0.0,5.6231351981352,0.0,11.4,5.6231351981352,11.1,0.0,5.68484848484849,0.0,11.1,5.68484848484849,11.4,0.0,5.61193806193806,0.0,11.4,5.61193806193806,11.1,0.0,5.61835664335664,0.0,11.1,5.61835664335664,10.9,0.0,5.57296037296037,0.0,10.9,5.57296037296037
10.7,0.0,5.56818181818182,0.0,10.7,5.56818181818182,12.1,0.0,5.68373293373293,0.0,12.1,5.68373293373293,11.0,0.0,5.66454545454546,0.0,11.0,5.66454545454546,11.1,0.0,5.58939393939394,0.0,11.1,5.58939393939394,11.8,0.0,5.58094405594406,0.0,11.8,5.58094405594406,11.7,0.0,5.68074592074592,0.0,11.7,5.68074592074592,11.6,0.0,5.6705710955711,0.0,11.6,5.6705710955711,11.4,0.0,5.75920745920746,0.0,11.4,5.75920745920746,11.9,0.0,5.66164460539461,0.0,11.9,5.66164460539461,11.4,0.0,5.66873959373959,0.0,11.4,5.66873959373959,11.2,0.0,5.55714285714286,0.0,11.2,5.55714285714286
11.0,0.0,5.64015151515152,0.0,11.0,5.64015151515152,12.5,0.0,5.67703962703963,0.0,12.5,5.67703962703963,11.1,0.0,5.67818181818182,0.0,11.1,5.67818181818182,11.4,0.0,5.63729603729604,0.0,11.4,5.63729603729604,11.9,0.0,5.60850815850816,0.0,11.9,5.60850815850816,11.9,0.0,5.68249417249417,0.0,11.9,5.68249417249417,11.6,0.0,5.6705710955711,0.0,11.6,5.6705710955711,11.5,0.0,5.78875291375292,0.0,11.5,5.78875291375292,12.1,0.0,5.72528096903097,0.0,12.1,5.72528096903097,11.8,0.0,5.73883116883117,0.0,11.8,5.73883116883117,11.3,0.0,5.58896103896104,0.0,11.3,5.58896103896104
11.1,0.0,5.6497668997669,0.0,11.1,5.6497668997669,13.0,0.0,5.71489343989344,0.0,13.0,5.71489343989344,11.5,0.0,5.61090909090909,0.0,11.5,5.61090909090909,11.9,0.0,5.66070596070596,0.0,11.9,5.66070596070596,12.0,0.0,5.64055944055944,0.0,12.0,5.64055944055944,12.1,0.0,5.69128538128538,0.0,12.1,5.69128538128538,12.1,0.0,5.74877622377623,0.0,12.1,5.74877622377623,11.6,0.0,5.77391774891775,0.0,11.6,5.77391774891775,12.4,0.0,5.76391733266733,0.0,12.4,5.76391733266733,12.1,0.0,5.76319014319014,0.0,12.1,5.76319014319014,11.6,0.0,5.62835497835498,0.0,11.6,5.62835497835498
11.7,0.0,5.70315517815518,0.0,11.7,5.70315517815518,13.1,0.0,5.74016816516816,0.0,13.1,5.74016816516816,11.7,0.0,5.60898601398601,0.0,11.7,5.60898601398601,12.2,0.0,5.71079254079254,0.0,12.2,5.71079254079254,12.1,0.0,5.62077922077922,0.0,12.1,5.62077922077922,12.3,0.0,5.71879120879121,0.0,12.3,5.71879120879121,12.3,0.0,5.74662837162837,0.0,12.3,5.74662837162837,11.7,0.0,5.74635364635365,0.0,11.7,5.74635364635365,12.5,0.0,5.79578546453547,0.0,12.5,5.79578546453547,12.3,0.0,5.754662004662,0.0,12.3,5.754662004662,12.1,0.0,5.69502164502165,0.0,12.1,5.69502164502165
