forward_num_scale_length_10000,reverse_num_scale_length_10000,forward_rate_scale_length_10000,reverse_rate_scale_length_10000,organism_num_scale_length_10000,organism_rate_scale_length_10000,forward_num_scale_length_1000,reverse_num_scale_length_1000,forward_rate_scale_length_1000,reverse_rate_scale_length_1000,organism_num_scale_length_1000,organism_rate_scale_length_1000,forward_num_scale_length_100,reverse_num_scale_length_100,forward_rate_scale_length_100,reverse_rate_scale_length_100,organism_num_scale_length_100,organism_rate_scale_length_100,forward_num_scale_length_10,reverse_num_scale_length_10,forward_rate_scale_length_10,reverse_rate_scale_length_10,organism_num_scale_length_10,organism_rate_scale_length_10
488.8,0.0,6.01684734823739,0.0,488.8,6.01684734823739,998.5,0.0,5.40237987719882,0.0,998.5,5.40237987719882,998.0,0.0,5.1329919892214,0.0,998.0,5.1329919892214,998.0,0.0,4.85880288537214,0.0,998.0,4.85880288537214
527.3,0.0,5.98994408401568,0.0,527.3,5.98994408401568,998.3,0.0,5.41921457166996,0.0,998.3,5.41921457166996,998.6,0.0,5.13000058065756,0.0,998.6,5.13000058065756,998.1,0.0,4.84847660387144,0.0,998.1,4.84847660387144
555.9,0.0,6.0159152434725,0.0,555.9,6.0159152434725,998.4,0.0,5.40323870532563,0.0,998.4,5.40323870532563,997.7,0.0,5.14793150578538,0.0,997.7,5.14793150578538,998.5,0.0,4.83682412329536,0.0,998.5,4.83682412329536
573.1,0.0,6.03525058208152,0.0,573.1,6.03525058208152,998.6,0.0,5.40388243955378,0.0,998.6,5.40388243955378,998.1,0.0,5.1550756782676,0.0,998.1,5.1550756782676,998.1,0.0,4.82484346663634,0.0,998.1,4.82484346663634
586.5,0.0,6.02850294261881,0.0,586.5,6.02850294261881,998.6,0.0,5.39788395620099,0.0,998.6,5.39788395620099,997.8,0.0,5.16303420806658,0.0,997.8,5.16303420806658,997.7,0.0,4.83355738783245,0.0,997.7,4.83355738783245
597.0,0.0,6.03647991025475,0.0,597.0,6.03647991025475,998.1,0.0,5.39775545400054,0.0,998.1,5.39775545400054,998.1,0.0,5.15856276180956,0.0,998.1,5.15856276180956,998.2,0.0,4.84309352797471,0.0,998.2,4.84309352797471
626.2,0.0,6.05771512538098,0.0,626.2,6.05771512538098,997.7,0.0,5.40245261069596,0.0,997.7,5.40245261069596,998.2,0.0,5.16891450900793,0.0,998.2,5.16891450900793,998.1,0.0,4.85621060070075,0.0,998.1,4.85621060070075
697.5,0.0,6.04765331925848,0.0,697.5,6.04765331925848,997.8,0.0,5.40985473388507,0.0,997.8,5.40985473388507,997.8,0.0,5.16703494298054,0.0,997.8,5.16703494298054,998.2,0.0,4.84981928230473,0.0,998.2,4.84981928230473
707.0,0.0,6.04376595379664,0.0,707.0,6.04376595379664,998.4,0.0,5.42922252306598,0.0,998.4,5.42922252306598,998.5,0.0,5.16157992564416,0.0,998.5,5.16157992564416,998.1,0.0,4.86847174842904,0.0,998.1,4.86847174842904
724.0,0.0,6.03486875807073,0.0,724.0,6.03486875807073,998.3,0.0,5.4299628317793,0.0,998.3,5.4299628317793,998.6,0.0,5.13705269561636,0.0,998.6,5.13705269561636,998.1,0.0,4.85513175219469,0.0,998.1,4.85513175219469
747.8,0.0,6.05679932747606,0.0,747.8,6.05679932747606,998.6,0.0,5.44213872849781,0.0,998.6,5.44213872849781,998.4,0.0,5.13920338048092,0.0,998.4,5.13920338048092,997.8,0.0,4.84548134997791,0.0,997.8,4.84548134997791
754.2,0.0,6.05017411772785,0.0,754.2,6.05017411772785,998.0,0.0,5.4495687518062,0.0,998.0,5.4495687518062,997.9,0.0,5.11814253223441,0.0,997.9,5.11814253223441,998.4,0.0,4.82490826231983,0.0,998.4,4.82490826231983
816.9,0.0,6.04777370952606,0.0,816.9,6.04777370952606,998.6,0.0,5.45355957159564,0.0,998.6,5.45355957159564,998.4,0.0,5.11849732438674,0.0,998.4,5.11849732438674,998.7,0.0,4.80835986286888,0.0,998.7,4.80835986286888
827.0,0.0,6.04871722877273,0.0,827.0,6.04871722877273,998.1,0.0,5.4712850963032,0.0,998.1,5.4712850963032,998.2,0.0,5.11651760242,0.0,998.2,5.11651760242,998.5,0.0,4.80318949148363,0.0,998.5,4.80318949148363
831.7,0.0,6.04368177824786,0.0,831.7,6.04368177824786,998.2,0.0,5.4673679581053,0.0,998.2,5.4673679581053,998.2,0.0,5.10468026775164,0.0,998.2,5.10468026775164,998.3,0.0,4.81742607557115,0.0,998.3,4.81742607557115
840.6,0.0,6.04713224633633,0.0,840.6,6.04713224633633,998.3,0.0,5.46637386598161,0.0,998.3,5.46637386598161,998.1,0.0,5.06037357329269,0.0,998.1,5.06037357329269,998.2,0.0,4.82917648154108,0.0,998.2,4.82917648154108
853.4,0.0,6.06322434456647,0.0,853.4,6.06322434456647,998.4,0.0,5.4654228124161,0.0,998.4,5.4654228124161,998.3,0.0,5.06258782807789,0.0,998.3,5.06258782807789,998.5,0.0,4.82093180078046,0.0,998.5,4.82093180078046
864.2,0.0,6.06012957714179,0.0,864.2,6.06012957714179,997.8,0.0,5.45808615554795,0.0,997.8,5.45808615554795,998.1,0.0,5.03465135527465,0.0,998.1,5.03465135527465,998.3,0.0,4.82669943578109,0.0,998.3,4.82669943578109
896.6,0.0,6.05769780439597,0.0,896.6,6.05769780439597,998.7,0.0,5.45570921623026,0.0,998.7,5.45570921623026,998.2,0.0,5.02894895885817,0.0,998.2,5.02894895885817,998.2,0.0,4.83247787860986,0.0,998.2,4.83247787860986
898.4,0.0,6.06662994345394,0.0,898.4,6.06662994345394,998.2,0.0,5.44461887541256,0.0,998.2,5.44461887541256,998.5,0.0,5.04125849738841,0.0,998.5,5.04125849738841,998.3,0.0,4.80536682555042,0.0,998.3,4.80536682555042
907.6,0.0,6.08490440052336,0.0,907.6,6.08490440052336,997.9,0.0,5.44267101162234,0.0,997.9,5.44267101162234,998.4,0.0,5.02878053343684,0.0,998.4,5.02878053343684,998.1,0.0,4.81779756659154,0.0,998.1,4.81779756659154
908.4,0.0,6.07714494392804,0.0,908.4,6.07714494392804,998.5,0.0,5.43583874878573,0.0,998.5,5.43583874878573,998.5,0.0,5.06149176454682,0.0,998.5,5.06149176454682,998.0,0.0,4.80488371708442,0.0,998.0,4.80488371708442
916.9,0.0,6.08967523713728,0.0,916.9,6.08967523713728,998.5,0.0,5.42844402639596,0.0,998.5,5.42844402639596,998.6,0.0,5.05083807865811,0.0,998.6,5.05083807865811,998.2,0.0,4.80361775435252,0.0,998.2,4.80361775435252
