forward_num,reverse_num,forward_rate,reverse_rate,organism_num,organism_rate
50,50,5.5,5.5,100,5.5
61,66,5.78688524590164,5.68181818181818,127,5.73228346456693
74,74,5.95945945945946,5.98648648648649,148,5.97297297297297
90,91,6.23333333333333,6.1978021978022,181,6.21546961325967
116,105,6.64655172413793,6.55238095238095,221,6.60180995475113
136,130,6.69117647058824,6.49230769230769,266,6.59398496240602
189,165,7.11111111111111,6.85454545454545,354,6.99152542372881
216,194,7.25462962962963,7.00515463917526,410,7.13658536585366
301,253,7.46843853820598,7.43873517786561,554,7.45487364620939
389,310,7.65038560411311,7.53225806451613,699,7.59799713876967
485,398,7.8639175257732,7.76130653266332,883,7.81766704416761
551,448,8.00181488203267,7.89285714285714,999,7.95295295295295
553,446,7.85171790235081,8.0,999,7.91791791791792
546,452,7.89377289377289,7.98672566371681,998,7.93587174348697
546,453,7.91025641025641,7.98675496688742,999,7.94494494494494
551,448,7.92558983666062,8.00892857142857,999,7.96296296296296
553,445,7.95840867992767,7.98202247191011,998,7.9689378757515
550,448,7.94909090909091,7.95758928571429,998,7.95290581162325
563,436,7.98579040852576,7.94724770642202,999,7.96896896896897
560,439,8.025,8.0501138952164,999,8.03603603603604
568,431,8.01584507042254,8.11136890951276,999,8.05705705705706
572,426,8.01398601398601,8.13145539906103,998,8.06412825651303
571,428,8.0122591943958,8.10280373831776,999,8.05105105105105
568,431,8.02288732394366,8.11600928074246,999,8.06306306306306
572,427,7.98776223776224,8.06791569086651,999,8.02202202202202
571,428,8.05253940455341,8.18224299065421,999,8.10810810810811
575,423,8.08,8.18676122931442,998,8.125250501002
579,420,8.07253886010363,8.17857142857143,999,8.11711711711712
578,421,8.08996539792387,8.21852731591449,999,8.14414414414414
584,415,8.08047945205479,8.22168674698795,999,8.13913913913914
577,422,8.1473136915078,8.22274881516588,999,8.17917917917918
566,432,8.15194346289753,8.27083333333333,998,8.20340681362725
567,431,8.1710758377425,8.25290023201856,998,8.2064128256513
566,433,8.14134275618374,8.29792147806005,999,8.20920920920921
576,423,8.12673611111111,8.3451536643026,999,8.21921921921922
578,420,8.15570934256055,8.35714285714286,998,8.24048096192385
573,426,8.13961605584642,8.35680751173709,999,8.23223223223223
582,417,8.15635738831615,8.33812949640288,999,8.23223223223223
581,416,8.22719449225473,8.37259615384615,997,8.28786359077232
590,408,8.23050847457627,8.3921568627451,998,8.29659318637275
597,401,8.24623115577889,8.44887780548628,998,8.32765531062124
604,394,8.27152317880795,8.4492385786802,998,8.34168336673347
600,398,8.27333333333333,8.46482412060302,998,8.3496993987976
602,397,8.3156146179402,8.45088161209068,999,8.36936936936937
596,401,8.33053691275168,8.4788029925187,997,8.3901705115346
599,399,8.33055091819699,8.3859649122807,998,8.35270541082164
598,400,8.3428093645485,8.4225,998,8.374749498998
589,410,8.34295415959253,8.44878048780488,999,8.38638638638639
588,410,8.3656462585034,8.49024390243902,998,8.41683366733467
584,415,8.36986301369863,8.46506024096386,999,8.40940940940941
584,414,8.41609589041096,8.46376811594203,998,8.43587174348697
583,416,8.44082332761578,8.47355769230769,999,8.45445445445445
582,417,8.42268041237113,8.50359712230216,999,8.45645645645646
588,411,8.45238095238095,8.58150851581508,999,8.50550550550551
576,422,8.49131944444444,8.60663507109005,998,8.54008016032064
579,420,8.52331606217617,8.65714285714286,999,8.57957957957958
577,421,8.5580589254766,8.69596199524941,998,8.61623246492986
567,432,8.57495590828924,8.70833333333333,999,8.63263263263263
565,434,8.6,8.76267281105991,999,8.67067067067067
567,431,8.59611992945326,8.80046403712297,998,8.68436873747495
561,438,8.61497326203209,8.7716894977169,999,8.68368368368368
559,440,8.6386404293381,8.79545454545454,999,8.70770770770771
562,436,8.63523131672598,8.85321100917431,998,8.73046092184369
560,439,8.67321428571429,8.85876993166287,999,8.75475475475475
571,427,8.63747810858144,8.86416861826698,998,8.73446893787575
575,422,8.64173913043478,8.86729857819905,997,8.73721163490471
584,415,8.65753424657534,8.85301204819277,999,8.73873873873874
583,414,8.62092624356775,8.8743961352657,997,8.72617853560682
586,412,8.57508532423208,8.88349514563107,998,8.70240480961924
575,424,8.59130434782609,8.88207547169811,999,8.71471471471471
573,426,8.58115183246073,8.87323943661972,999,8.70570570570571
579,419,8.59585492227979,8.90692124105012,998,8.72645290581162
569,430,8.60456942003515,8.86744186046512,999,8.71771771771772
