forward_num,reverse_num,forward_rate,reverse_rate,organism_num,organism_rate
500,500,5.5,5.5,1000,5.5
491,499,5.4867617107943,5.49098196392786,990,5.48888888888889
491,495,5.4867617107943,5.5010101010101,986,5.49391480730223
546,453,6.00915750915751,5.46799116997792,999,5.76376376376376
580,417,6.08103448275862,5.37170263788969,997,5.78435305917753
613,386,6.23164763458401,5.32642487046632,999,5.88188188188188
641,357,6.22620904836193,5.296918767507,998,5.8937875751503
656,342,6.27896341463415,5.28654970760234,998,5.93887775551102
677,321,6.33530280649926,5.23364485981308,998,5.98096192384769
691,307,6.410998552822,5.14332247557003,998,6.02104208416834
659,339,6.52352048558422,4.95575221238938,998,5.99098196392786
690,308,6.31014492753623,4.90584415584416,998,5.87675350701403
685,312,6.45401459854015,4.75961538461539,997,5.92377131394183
656,341,6.44207317073171,5.03225806451613,997,5.95987963891675
655,344,6.54198473282443,5.25,999,6.0970970970971
641,356,6.57878315132605,5.2752808988764,997,6.11334002006018
649,350,6.67642526964561,5.35714285714286,999,6.21421421421421
631,368,6.70998415213946,5.49728260869565,999,6.26326326326326
637,362,6.85871271585557,5.67955801104972,999,6.43143143143143
658,341,6.85258358662614,5.67741935483871,999,6.45145145145145
636,361,6.95911949685535,5.94459833795014,997,6.59177532597793
649,349,6.68567026194145,5.72206303724928,998,6.34869739478958
635,363,6.7748031496063,5.7603305785124,998,6.40581162324649
630,368,6.89206349206349,5.70380434782609,998,6.45390781563126
636,363,6.93553459119497,5.8099173553719,999,6.52652652652653
649,347,6.98613251155624,5.73775216138328,996,6.55120481927711
644,355,7.04658385093168,5.72394366197183,999,6.57657657657658
642,357,7.10747663551402,5.78711484593838,999,6.63563563563564
654,345,7.10703363914373,5.83478260869565,999,6.66766766766767
657,342,7.11719939117199,5.81286549707602,999,6.67067067067067
645,352,7.24341085271318,5.88636363636364,997,6.76429287863591
651,347,7.21812596006144,5.83861671469741,998,6.73847695390782
659,339,7.24886191198786,5.88495575221239,998,6.78557114228457
655,343,7.2763358778626,5.9533527696793,998,6.82164328657315
653,346,7.29096477794793,6.05491329479769,999,6.86286286286286
665,334,7.38947368421053,6.14670658682635,999,6.97397397397397
670,329,7.43134328358209,6.11550151975684,999,6.997997997998
664,335,7.42168674698795,6.15223880597015,999,6.995995995996
677,321,7.44313146233383,6.18380062305296,998,7.03807615230461
666,332,7.46246246246246,6.22590361445783,998,7.05110220440882
