forward_num,reverse_num,forward_rate,reverse_rate,organism_num,organism_rate
10,0,5.5,NaN,10,5.5
10,0,5.5,NaN,10,5.5
10,0,5.5,NaN,10,5.5
10,0,5.5,NaN,10,5.5
10,0,5.5,NaN,10,5.5
10,0,5.5,NaN,10,5.5
10,0,5.5,NaN,10,5.5
10,0,5.5,NaN,10,5.5
10,0,5.5,NaN,10,5.5
10,0,5.5,NaN,10,5.5
10,0,5.5,NaN,10,5.5
10,0,5.5,NaN,10,5.5
10,0,5.5,NaN,10,5.5
10,0,5.5,NaN,10,5.5
10,0,5.5,NaN,10,5.5
10,0,5.5,NaN,10,5.5
10,0,5.5,NaN,10,5.5
10,0,5.5,NaN,10,5.5
10,0,5.5,NaN,10,5.5
10,0,5.5,NaN,10,5.5
10,0,5.5,NaN,10,5.5
11,0,5.45454545454545,NaN,11,5.45454545454545
11,0,5.45454545454545,NaN,11,5.45454545454545
11,0,5.45454545454545,NaN,11,5.45454545454545
12,0,5.33333333333333,NaN,12,5.33333333333333
12,0,5.33333333333333,NaN,12,5.33333333333333
12,0,5.33333333333333,NaN,12,5.33333333333333
13,0,5.15384615384615,NaN,13,5.15384615384615
13,0,5.15384615384615,NaN,13,5.15384615384615
13,0,5.15384615384615,NaN,13,5.15384615384615
14,0,4.92857142857143,NaN,14,4.92857142857143
14,0,4.92857142857143,NaN,14,4.92857142857143
14,0,4.92857142857143,NaN,14,4.92857142857143
14,0,4.92857142857143,NaN,14,4.92857142857143
14,0,4.92857142857143,NaN,14,4.92857142857143
15,0,4.66666666666667,NaN,15,4.66666666666667
15,0,4.66666666666667,NaN,15,4.66666666666667
15,0,4.66666666666667,NaN,15,4.66666666666667
15,0,4.66666666666667,NaN,15,4.66666666666667
15,0,4.66666666666667,NaN,15,4.66666666666667
15,0,4.66666666666667,NaN,15,4.66666666666667
15,0,4.66666666666667,NaN,15,4.66666666666667
17,0,5.0,NaN,17,5.0
17,0,5.0,NaN,17,5.0
17,0,5.0,NaN,17,5.0
16,0,5.1875,NaN,16,5.1875
16,0,5.1875,NaN,16,5.1875
17,0,5.11764705882353,NaN,17,5.11764705882353
17,0,5.11764705882353,NaN,17,5.11764705882353
17,0,5.11764705882353,NaN,17,5.11764705882353
17,0,5.11764705882353,NaN,17,5.11764705882353
17,0,5.11764705882353,NaN,17,5.11764705882353
18,0,5.33333333333333,NaN,18,5.33333333333333
19,0,5.21052631578947,NaN,19,5.21052631578947
19,0,5.21052631578947,NaN,19,5.21052631578947
19,0,5.21052631578947,NaN,19,5.21052631578947
19,0,5.21052631578947,NaN,19,5.21052631578947
19,0,5.21052631578947,NaN,19,5.21052631578947
19,0,5.21052631578947,NaN,19,5.21052631578947
19,0,5.21052631578947,NaN,19,5.21052631578947
20,0,5.05,NaN,20,5.05
20,0,5.05,NaN,20,5.05
20,0,5.05,NaN,20,5.05
23,0,5.26086956521739,NaN,23,5.26086956521739
23,0,5.26086956521739,NaN,23,5.26086956521739
23,0,5.26086956521739,NaN,23,5.26086956521739
23,0,5.26086956521739,NaN,23,5.26086956521739
23,0,5.26086956521739,NaN,23,5.26086956521739
23,0,5.26086956521739,NaN,23,5.26086956521739
23,0,5.26086956521739,NaN,23,5.26086956521739
26,0,5.11538461538461,NaN,26,5.11538461538461
26,0,5.11538461538461,NaN,26,5.11538461538461
26,0,5.11538461538461,NaN,26,5.11538461538461
26,0,5.11538461538461,NaN,26,5.11538461538461
26,0,5.11538461538461,NaN,26,5.11538461538461
27,0,5.25925925925926,NaN,27,5.25925925925926
28,0,5.21428571428571,NaN,28,5.21428571428571
28,0,5.21428571428571,NaN,28,5.21428571428571
28,0,5.21428571428571,NaN,28,5.21428571428571
29,0,5.13793103448276,NaN,29,5.13793103448276
