forward_num,reverse_num,forward_rate,reverse_rate,organism_num,organism_rate
500,500,5.5,5.5,1000,5.5
495,493,5.48888888888889,5.49290060851927,988,5.49089068825911
493,491,5.49087221095335,5.4908350305499,984,5.49085365853659
547,452,5.53199268738574,5.4646017699115,999,5.5015015015015
567,430,5.57142857142857,5.48604651162791,997,5.5346038114343
606,393,5.51485148514851,5.46819338422392,999,5.4964964964965
643,355,5.48989113530327,5.52676056338028,998,5.50300601202405
660,339,5.44545454545455,5.51917404129794,999,5.47047047047047
680,318,5.4,5.37106918238994,998,5.39078156312625
710,289,5.3943661971831,5.39446366782007,999,5.39439439439439
694,305,5.40201729106628,5.18032786885246,999,5.33433433433433
714,284,5.37955182072829,5.2112676056338,998,5.33166332665331
717,282,5.43933054393305,5.00709219858156,999,5.31731731731732
695,304,5.48920863309352,4.90131578947368,999,5.31031031031031
696,302,5.42097701149425,4.82119205298013,998,5.23947895791583
692,305,5.47109826589595,4.95081967213115,997,5.31193580742227
680,319,5.40882352941177,4.90595611285266,999,5.24824824824825
682,314,5.33870967741935,4.89808917197452,996,5.19979919678715
691,308,5.44428364688857,5.07467532467532,999,5.33033033033033
692,306,5.50722543352601,5.05555555555556,998,5.3687374749499
701,296,5.52924393723252,5.11486486486486,997,5.4062186559679
731,267,5.40355677154583,5.06741573033708,998,5.31362725450902
704,294,5.44886363636364,4.97959183673469,998,5.31062124248497
720,278,5.45694444444444,5.03956834532374,998,5.34068136272545
726,273,5.43801652892562,4.95970695970696,999,5.30730730730731
721,277,5.39251040221914,4.98194945848375,998,5.27855711422846
729,270,5.40877914951989,4.96296296296296,999,5.28828828828829
724,274,5.48204419889503,5.01094890510949,998,5.35270541082164
722,276,5.4196675900277,4.97463768115942,998,5.29659318637275
724,274,5.39502762430939,5.06204379562044,998,5.30360721442886
730,269,5.42602739726027,5.08921933085502,999,5.33533533533534
725,274,5.41379310344828,5.04744525547445,999,5.31331331331331
715,284,5.41678321678322,5.02464788732394,999,5.30530530530531
706,292,5.39518413597734,5.01369863013699,998,5.28356713426854
697,302,5.41893830703013,5.06953642384106,999,5.31331331331331
709,290,5.3638928067701,5.02758620689655,999,5.26626626626627
704,295,5.39630681818182,5.06440677966102,999,5.2982982982983
703,296,5.35561877667141,5.07432432432432,999,5.27227227227227
698,300,5.31948424068768,5.11,998,5.2565130260521
705,294,5.34893617021277,5.11904761904762,999,5.28128128128128
698,300,5.35100286532951,5.18666666666667,998,5.30160320641283
709,290,5.40620592383639,5.19310344827586,999,5.34434434434434
709,289,5.39069111424542,5.18339100346021,998,5.33066132264529
711,287,5.37834036568214,5.19512195121951,998,5.32565130260521
703,296,5.36842105263158,5.17567567567568,999,5.31131131131131
697,301,5.37589670014347,5.21262458471761,998,5.32665330661323
