forward_num,reverse_num,forward_rate,reverse_rate,organism_num,organism_rate
10,0,5.5,NaN,10,5.5
10,0,5.5,NaN,10,5.5
10,0,5.5,NaN,10,5.5
10,0,5.5,NaN,10,5.5
10,0,5.5,NaN,10,5.5
10,0,5.5,NaN,10,5.5
10,0,5.5,NaN,10,5.5
10,0,5.5,NaN,10,5.5
10,0,5.5,NaN,10,5.5
10,0,5.5,NaN,10,5.5
10,0,5.5,NaN,10,5.5
10,0,5.5,NaN,10,5.5
10,0,5.5,NaN,10,5.5
10,0,5.5,NaN,10,5.5
10,0,5.5,NaN,10,5.5
10,0,5.5,NaN,10,5.5
10,0,5.5,NaN,10,5.5
10,0,5.5,NaN,10,5.5
10,0,5.5,NaN,10,5.5
10,0,5.5,NaN,10,5.5
10,0,5.5,NaN,10,5.5
11,0,5.81818181818182,NaN,11,5.81818181818182
11,0,5.81818181818182,NaN,11,5.81818181818182
12,0,6.16666666666667,NaN,12,6.16666666666667
12,0,6.16666666666667,NaN,12,6.16666666666667
12,0,6.16666666666667,NaN,12,6.16666666666667
13,0,6.30769230769231,NaN,13,6.30769230769231
13,0,6.30769230769231,NaN,13,6.30769230769231
13,0,6.30769230769231,NaN,13,6.30769230769231
13,0,6.30769230769231,NaN,13,6.30769230769231
14,0,6.35714285714286,NaN,14,6.35714285714286
14,0,6.35714285714286,NaN,14,6.35714285714286
14,0,6.35714285714286,NaN,14,6.35714285714286
14,0,6.35714285714286,NaN,14,6.35714285714286
15,0,6.33333333333333,NaN,15,6.33333333333333
15,0,6.33333333333333,NaN,15,6.33333333333333
15,0,6.33333333333333,NaN,15,6.33333333333333
15,0,6.33333333333333,NaN,15,6.33333333333333
15,0,6.33333333333333,NaN,15,6.33333333333333
15,0,6.33333333333333,NaN,15,6.33333333333333
15,0,6.33333333333333,NaN,15,6.33333333333333
16,0,6.25,NaN,16,6.25
17,0,6.41176470588235,NaN,17,6.41176470588235
17,0,6.41176470588235,NaN,17,6.41176470588235
19,0,6.73684210526316,NaN,19,6.73684210526316
19,0,6.73684210526316,NaN,19,6.73684210526316
20,0,6.85,NaN,20,6.85
20,0,6.85,NaN,20,6.85
20,0,6.85,NaN,20,6.85
20,0,6.85,NaN,20,6.85
20,0,6.85,NaN,20,6.85
21,0,6.71428571428571,NaN,21,6.71428571428571
23,0,6.78260869565217,NaN,23,6.78260869565217
23,0,6.78260869565217,NaN,23,6.78260869565217
23,0,6.78260869565217,NaN,23,6.78260869565217
23,0,6.78260869565217,NaN,23,6.78260869565217
23,0,6.78260869565217,NaN,23,6.78260869565217
23,0,6.78260869565217,NaN,23,6.78260869565217
23,0,6.78260869565217,NaN,23,6.78260869565217
25,0,6.8,NaN,25,6.8
25,0,6.8,NaN,25,6.8
25,0,6.8,NaN,25,6.8
26,0,6.88461538461539,NaN,26,6.88461538461539
26,0,6.88461538461539,NaN,26,6.88461538461539
29,0,7.06896551724138,NaN,29,7.06896551724138
29,0,7.06896551724138,NaN,29,7.06896551724138
30,0,7.16666666666667,NaN,30,7.16666666666667
31,0,7.19354838709677,NaN,31,7.19354838709677
34,0,7.0,NaN,34,7.0
36,0,7.13888888888889,NaN,36,7.13888888888889
36,0,7.13888888888889,NaN,36,7.13888888888889
36,0,7.13888888888889,NaN,36,7.13888888888889
36,0,7.13888888888889,NaN,36,7.13888888888889
36,0,7.13888888888889,NaN,36,7.13888888888889
36,0,7.13888888888889,NaN,36,7.13888888888889
36,0,7.13888888888889,NaN,36,7.13888888888889
36,0,7.13888888888889,NaN,36,7.13888888888889
37,0,7.16216216216216,NaN,37,7.16216216216216
39,0,7.20512820512821,NaN,39,7.20512820512821
39,0,7.20512820512821,NaN,39,7.20512820512821
