forward_num,reverse_num,forward_rate,reverse_rate,organism_num,organism_rate
50,50,5.5,5.5,100,5.5
63,58,5.85714285714286,5.77586206896552,121,5.81818181818182
77,70,6.05194805194805,6.11428571428571,147,6.08163265306122
96,76,6.54166666666667,6.13157894736842,172,6.36046511627907
115,87,6.71304347826087,6.33333333333333,202,6.54950495049505
149,111,7.12751677852349,6.77477477477477,260,6.97692307692308
181,130,7.08839779005525,6.93846153846154,311,7.02572347266881
256,157,7.4765625,7.24203821656051,413,7.38740920096852
288,187,7.52777777777778,7.36363636363636,475,7.46315789473684
396,227,7.8989898989899,7.66960352422907,623,7.81540930979133
491,262,7.9857433808554,7.75190839694656,753,7.90438247011952
674,325,8.0919881305638,8.01230769230769,999,8.06606606606607
671,328,8.11028315946349,7.97560975609756,999,8.06606606606607
663,336,8.11463046757164,8.03869047619048,999,8.08908908908909
671,326,8.11028315946349,8.07668711656442,997,8.09929789368104
669,329,8.0627802690583,8.12462006079027,998,8.08316633266533
665,334,8.1609022556391,8.09281437125749,999,8.13813813813814
666,332,8.19369369369369,8.06626506024096,998,8.15130260521042
674,325,8.22403560830861,8.07384615384615,999,8.17517517517518
665,332,8.2406015037594,8.09036144578313,997,8.19057171514544
665,334,8.28571428571429,8.14670658682635,999,8.23923923923924
675,324,8.28,8.11111111111111,999,8.22522522522523
664,334,8.27861445783133,8.20059880239521,998,8.25250501002004
666,333,8.30630630630631,8.22822822822823,999,8.28028028028028
661,337,8.31921331316188,8.2433234421365,998,8.2935871743487
665,334,8.32330827067669,8.26946107784431,999,8.30530530530531
670,329,8.33283582089552,8.2644376899696,999,8.31031031031031
664,334,8.31325301204819,8.29041916167665,998,8.30561122244489
666,333,8.38588588588589,8.27927927927928,999,8.35035035035035
666,333,8.39339339339339,8.23423423423423,999,8.34034034034034
660,336,8.46818181818182,8.20238095238095,996,8.3785140562249
664,334,8.46385542168675,8.22754491017964,998,8.38476953907816
668,330,8.46407185628743,8.27272727272727,998,8.40080160320641
672,325,8.45386904761905,8.30769230769231,997,8.4062186559679
678,321,8.48672566371681,8.39252336448598,999,8.45645645645646
675,321,8.46962962962963,8.43302180685358,996,8.45783132530121
671,328,8.50074515648286,8.39329268292683,999,8.46546546546547
666,333,8.53153153153153,8.39339339339339,999,8.48548548548549
664,335,8.57228915662651,8.47462686567164,999,8.53953953953954
673,325,8.61069836552749,8.44923076923077,998,8.55811623246493
674,324,8.57566765578635,8.58950617283951,998,8.58016032064128
678,321,8.53687315634218,8.66043613707165,999,8.57657657657658
684,315,8.57602339181287,8.61904761904762,999,8.58958958958959
685,313,8.58978102189781,8.69009584664537,998,8.62124248496994
683,313,8.60468521229868,8.7220447284345,996,8.64156626506024
686,313,8.61807580174927,8.74760383386582,999,8.65865865865866
693,305,8.58874458874459,8.80983606557377,998,8.6563126252505
685,313,8.61167883211679,8.78594249201278,998,8.66633266533066
695,304,8.63741007194245,8.7828947368421,999,8.68168168168168
695,304,8.61007194244604,8.82894736842105,999,8.67667667667668
700,299,8.61142857142857,8.86622073578595,999,8.68768768768769
701,298,8.65477888730385,8.80536912751678,999,8.6996996996997
699,299,8.689556509299,8.8494983277592,998,8.7374749498998
703,295,8.70981507823613,8.87457627118644,998,8.75851703406814
705,294,8.68652482269504,8.93197278911565,999,8.75875875875876
708,291,8.69350282485876,8.93814432989691,999,8.76476476476476
707,291,8.72418670438472,9.0,998,8.80460921843687
705,293,8.72198581560284,9.03412969283276,998,8.81362725450902
708,291,8.75564971751412,9.04810996563574,999,8.84084084084084
705,294,8.77446808510638,9.06122448979592,999,8.85885885885886
702,293,8.75498575498576,9.06484641638225,995,8.8462311557789
699,299,8.76967095851216,9.0066889632107,998,8.84068136272545
689,309,8.70246734397678,9.01294498381877,998,8.79859719438878
690,308,8.73188405797101,9.00649350649351,998,8.81663326653307
696,303,8.71120689655172,9.06930693069307,999,8.81981981981982
698,298,8.71776504297994,9.08389261744967,996,8.82730923694779
701,298,8.71469329529244,9.09060402684564,999,8.82682682682683
699,297,8.71244635193133,9.05723905723906,996,8.81526104417671
694,303,8.73919308357349,9.10891089108911,997,8.85155466399198
709,290,8.77150916784203,9.11034482758621,999,8.86986986986987
718,281,8.82729805013928,9.1067615658363,999,8.90590590590591
719,278,8.89429763560501,9.11151079136691,997,8.95486459378134
723,276,8.86583679114799,9.09057971014493,999,8.92792792792793
729,270,8.88065843621399,9.09259259259259,999,8.93793793793794
726,270,8.90220385674931,9.11481481481482,996,8.95983935742972
730,269,8.92054794520548,9.13382899628253,999,8.97797797797798
735,263,8.92108843537415,9.14448669201521,998,8.97995991983968
728,269,8.96565934065934,9.182156133829,997,9.02407221664995
729,270,8.96159122085048,9.14444444444444,999,9.01101101101101
728,271,8.97802197802198,9.14022140221402,999,9.02202202202202
733,266,8.9849931787176,9.1203007518797,999,9.02102102102102
736,263,8.99864130434783,9.09505703422053,999,9.02402402402402
736,261,9.01494565217391,9.08045977011494,997,9.0320962888666
749,248,8.99732977303071,9.04435483870968,997,9.00902708124373
754,244,9.01724137931035,9.07786885245902,998,9.03206412825651
757,242,9.02377807133421,9.08677685950413,999,9.03903903903904
763,235,9.01441677588467,9.11489361702128,998,9.03807615230461
764,235,9.02486910994764,9.16170212765957,999,9.05705705705706
764,235,9.05235602094241,9.10212765957447,999,9.06406406406406
763,236,9.0956749672346,9.07627118644068,999,9.09109109109109
763,235,9.11009174311927,9.05957446808511,998,9.09819639278557
777,222,9.15057915057915,9.12612612612613,999,9.14514514514515
765,233,9.13856209150327,9.15450643776824,998,9.14228456913828
767,231,9.18383311603651,9.22077922077922,998,9.19238476953908
766,233,9.1710182767624,9.17167381974249,999,9.17117117117117
775,223,9.20645161290323,9.14349775784753,998,9.19238476953908
776,223,9.24355670103093,9.19282511210762,999,9.23223223223223
774,225,9.25452196382429,9.17333333333333,999,9.23623623623624
773,225,9.26520051746443,9.19111111111111,998,9.24849699398798
771,227,9.28923476005188,9.19383259911894,998,9.26753507014028
782,217,9.28005115089514,9.19815668202765,999,9.26226226226226
787,212,9.27700127064803,9.12264150943396,999,9.24424424424424
791,208,9.2819216182048,9.10096153846154,999,9.24424424424424
789,207,9.29404309252218,9.1207729468599,996,9.25803212851406
793,205,9.27868852459016,9.13658536585366,998,9.24949899799599
791,207,9.25916561314791,9.1256038647343,998,9.2314629258517
