forward_num,forward_rate,organism_num,organism_rate
10,5.5,10,5.5
10,5.5,10,5.5
10,5.5,10,5.5
9,5.33333333333333,9,5.33333333333333
9,5.33333333333333,9,5.33333333333333
9,5.33333333333333,9,5.33333333333333
9,5.33333333333333,9,5.33333333333333
9,5.33333333333333,9,5.33333333333333
9,5.33333333333333,9,5.33333333333333
9,5.33333333333333,9,5.33333333333333
9,5.33333333333333,9,5.33333333333333
10,5.7,10,5.7
11,6.09090909090909,11,6.09090909090909
12,6.33333333333333,12,6.33333333333333
12,6.33333333333333,12,6.33333333333333
12,6.33333333333333,12,6.33333333333333
12,6.33333333333333,12,6.33333333333333
13,6.23076923076923,13,6.23076923076923
13,6.23076923076923,13,6.23076923076923
13,6.23076923076923,13,6.23076923076923
13,6.23076923076923,13,6.23076923076923
15,6.26666666666667,15,6.26666666666667
17,6.52941176470588,17,6.52941176470588
18,6.61111111111111,18,6.61111111111111
18,6.61111111111111,18,6.61111111111111
19,6.68421052631579,19,6.68421052631579
21,6.66666666666667,21,6.66666666666667
21,6.66666666666667,21,6.66666666666667
21,6.66666666666667,21,6.66666666666667
21,6.66666666666667,21,6.66666666666667
21,6.66666666666667,21,6.66666666666667
21,6.66666666666667,21,6.66666666666667
22,6.77272727272727,22,6.77272727272727
24,7.0,24,7.0
28,6.89285714285714,28,6.89285714285714
30,7.06666666666667,30,7.06666666666667
32,7.15625,32,7.15625
34,7.29411764705882,34,7.29411764705882
35,7.2,35,7.2
36,7.19444444444444,36,7.19444444444444
36,7.19444444444444,36,7.19444444444444
37,7.16216216216216,37,7.16216216216216
38,7.21052631578947,38,7.21052631578947
41,7.36585365853659,41,7.36585365853659
44,7.47727272727273,44,7.47727272727273
47,7.57446808510638,47,7.57446808510638
52,7.59615384615385,52,7.59615384615385
52,7.59615384615385,52,7.59615384615385
55,7.69090909090909,55,7.69090909090909
58,7.72413793103448,58,7.72413793103448
59,7.71186440677966,59,7.71186440677966
64,7.4375,64,7.4375
66,7.45454545454545,66,7.45454545454545
71,7.53521126760563,71,7.53521126760563
76,7.67105263157895,76,7.67105263157895
81,7.71604938271605,81,7.71604938271605
83,7.74698795180723,83,7.74698795180723
88,7.79545454545455,88,7.79545454545455
96,7.83333333333333,96,7.83333333333333
101,7.88118811881188,101,7.88118811881188
103,7.90291262135922,103,7.90291262135922
107,7.86915887850467,107,7.86915887850467
111,7.86486486486486,111,7.86486486486486
115,7.84347826086957,115,7.84347826086957
119,7.88235294117647,119,7.88235294117647
130,7.93076923076923,130,7.93076923076923
143,7.95804195804196,143,7.95804195804196
151,8.04635761589404,151,8.04635761589404
164,8.01219512195122,164,8.01219512195122
174,8.04022988505747,174,8.04022988505747
179,8.03351955307263,179,8.03351955307263
185,8.01621621621622,185,8.01621621621622
191,8.03141361256544,191,8.03141361256544
196,8.02551020408163,196,8.02551020408163
205,8.02926829268293,205,8.02926829268293
222,8.02252252252252,222,8.02252252252252
240,8.04583333333333,240,8.04583333333333
263,8.106463878327,263,8.106463878327
282,8.1063829787234,282,8.1063829787234
298,8.14429530201342,298,8.14429530201342
306,8.14705882352941,306,8.14705882352941
325,8.17538461538462,325,8.17538461538462
341,8.17302052785924,341,8.17302052785924
353,8.1586402266289,353,8.1586402266289
364,8.13736263736264,364,8.13736263736264
388,8.14175257731959,388,8.14175257731959
414,8.17391304347826,414,8.17391304347826
442,8.18325791855204,442,8.18325791855204
470,8.18936170212766,470,8.18936170212766
499,8.19438877755511,499,8.19438877755511
540,8.22962962962963,540,8.22962962962963
573,8.26003490401396,573,8.26003490401396
604,8.25331125827815,604,8.25331125827815
625,8.264,625,8.264
645,8.26821705426357,645,8.26821705426357
676,8.25443786982249,676,8.25443786982249
707,8.25318246110325,707,8.25318246110325
749,8.26435246995995,749,8.26435246995995
797,8.29987452948557,797,8.29987452948557
867,8.30795847750865,867,8.30795847750865
934,8.33404710920771,934,8.33404710920771
999,8.31731731731732,999,8.31731731731732
999,8.2972972972973,999,8.2972972972973
999,8.3003003003003,999,8.3003003003003
999,8.29229229229229,999,8.29229229229229
999,8.29029029029029,999,8.29029029029029
999,8.3003003003003,999,8.3003003003003
999,8.2982982982983,999,8.2982982982983
999,8.29229229229229,999,8.29229229229229
999,8.28928928928929,999,8.28928928928929
999,8.28428428428428,999,8.28428428428428
999,8.27727727727728,999,8.27727727727728
999,8.27827827827828,999,8.27827827827828
999,8.27927927927928,999,8.27927927927928
999,8.28728728728729,999,8.28728728728729
999,8.3003003003003,999,8.3003003003003
999,8.3013013013013,999,8.3013013013013
999,8.30830830830831,999,8.30830830830831
999,8.31131131131131,999,8.31131131131131
999,8.2992992992993,999,8.2992992992993
999,8.3013013013013,999,8.3013013013013
999,8.2972972972973,999,8.2972972972973
999,8.2992992992993,999,8.2992992992993
999,8.2972972972973,999,8.2972972972973
999,8.2952952952953,999,8.2952952952953
999,8.29129129129129,999,8.29129129129129
999,8.2992992992993,999,8.2992992992993
999,8.28428428428428,999,8.28428428428428
999,8.2952952952953,999,8.2952952952953
999,8.2972972972973,999,8.2972972972973
999,8.2992992992993,999,8.2992992992993
999,8.2982982982983,999,8.2982982982983
999,8.2982982982983,999,8.2982982982983
999,8.3033033033033,999,8.3033033033033
999,8.2962962962963,999,8.2962962962963
999,8.27627627627628,999,8.27627627627628
999,8.27827827827828,999,8.27827827827828
999,8.28428428428428,999,8.28428428428428
999,8.28128128128128,999,8.28128128128128
999,8.28928928928929,999,8.28928928928929
999,8.3033033033033,999,8.3033033033033
999,8.31631631631632,999,8.31631631631632
999,8.32732732732733,999,8.32732732732733
999,8.33033033033033,999,8.33033033033033
999,8.33033033033033,999,8.33033033033033
999,8.32832832832833,999,8.32832832832833
999,8.33133133133133,999,8.33133133133133
999,8.33333333333333,999,8.33333333333333
999,8.33233233233233,999,8.33233233233233
999,8.32832832832833,999,8.32832832832833
999,8.33033033033033,999,8.33033033033033
999,8.32732732732733,999,8.32732732732733
999,8.31131131131131,999,8.31131131131131
999,8.31231231231231,999,8.31231231231231
999,8.30930930930931,999,8.30930930930931
999,8.3033033033033,999,8.3033033033033
999,8.2962962962963,999,8.2962962962963
999,8.3033033033033,999,8.3033033033033
999,8.31631631631632,999,8.31631631631632
999,8.30530530530531,999,8.30530530530531
999,8.3043043043043,999,8.3043043043043
999,8.31131131131131,999,8.31131131131131
999,8.31231231231231,999,8.31231231231231
999,8.30830830830831,999,8.30830830830831
999,8.3043043043043,999,8.3043043043043
999,8.30830830830831,999,8.30830830830831
999,8.30730730730731,999,8.30730730730731
999,8.3033033033033,999,8.3033033033033
999,8.31031031031031,999,8.31031031031031
999,8.31831831831832,999,8.31831831831832
999,8.32132132132132,999,8.32132132132132
999,8.31331331331331,999,8.31331331331331
999,8.32332332332332,999,8.32332332332332
999,8.31331331331331,999,8.31331331331331
999,8.33033033033033,999,8.33033033033033
999,8.32532532532533,999,8.32532532532533
999,8.32232232232232,999,8.32232232232232
999,8.33033033033033,999,8.33033033033033
999,8.31731731731732,999,8.31731731731732
999,8.32232232232232,999,8.32232232232232
999,8.32632632632633,999,8.32632632632633
999,8.32432432432432,999,8.32432432432432
999,8.32632632632633,999,8.32632632632633
999,8.32032032032032,999,8.32032032032032
999,8.31431431431431,999,8.31431431431431
999,8.31231231231231,999,8.31231231231231
999,8.31831831831832,999,8.31831831831832
999,8.31131131131131,999,8.31131131131131
999,8.31731731731732,999,8.31731731731732
999,8.31231231231231,999,8.31231231231231
999,8.31231231231231,999,8.31231231231231
999,8.31931931931932,999,8.31931931931932
999,8.32032032032032,999,8.32032032032032
