reverse_600c_num_avg,reverse_600c_rate_avg
0.0,0.0
10.0,5.5
10.0,5.5
10.0,5.5
10.0,5.5
10.0,5.5
10.0,5.5
10.0,5.5
10.0,5.5
10.0,5.5
10.0,5.5
10.0,5.5
11.0,5.81818181818182
12.0,6.11111111111111
13.0,6.33333333333334
13.0,6.33333333333334
14.0,6.45238095238095
14.0,6.45238095238095
14.6666666666667,6.43333333333333
15.0,6.42222222222222
15.0,6.42222222222222
15.0,6.42222222222222
16.6666666666667,6.43872549019608
18.3333333333333,6.68908382066277
19.6666666666667,6.84649122807018
19.6666666666667,6.84649122807018
21.0,6.96825396825397
23.0,6.88405797101449
23.0,6.88405797101449
24.0,6.93055555555556
24.0,6.93055555555556
25.0,6.93333333333333
25.0,6.93333333333333
26.6666666666667,7.06172839506173
28.3333333333333,7.19868637110017
32.6666666666667,7.08112373737374
34.6666666666667,7.10532212885154
36.6666666666667,7.1549049049049
37.6666666666667,7.17740817740818
38.0,7.19329248276617
39.6666666666667,7.21770432178006
39.6666666666667,7.21770432178006
43.3333333333333,7.15362931642001
44.6666666666667,7.18619528619529
47.0,7.26867483811286
51.3333333333333,7.37657114127703
53.6666666666667,7.46575185820469
56.6666666666667,7.52250165089148
59.0,7.54783752191701
61.6666666666667,7.59432734842571
63.6666666666667,7.61273004549214
65.0,7.63163668835311
71.6666666666667,7.39234218520618
76.3333333333333,7.41103100216294
78.3333333333333,7.44748267872689
83.6666666666667,7.51067538126362
90.0,7.58801054018445
96.0,7.65156028368794
100.333333333333,7.69381678885146
105.0,7.73002066561796
110.333333333333,7.73081712665046
114.0,7.74867522267965
120.0,7.68903992629159
125.0,7.67733538251366
129.666666666667,7.69130339437998
134.666666666667,7.72999261720192
144.333333333333,7.77635868453946
156.0,7.85137032605171
166.333333333333,7.91801774169742
183.666666666667,7.82124738007091
191.0,7.81910188576855
198.333333333333,7.82961193555253
206.333333333333,7.84146352388275
214.333333333333,7.85715516498664
220.0,7.87006305360637
230.333333333333,7.87887423381791
245.666666666667,7.9158810976122
265.0,7.91261774401309
283.333333333333,7.93157683587636
301.333333333333,7.9690387898439
317.0,7.9939791654886
331.333333333333,8.01416149516525
348.0,8.00836359825272
363.333333333333,7.96238357601994
380.666666666667,7.96339852348618
393.666666666667,7.98410884191532
425.333333333333,7.94464441826202
450.0,7.96577212563639
476.666666666667,7.99067720349215
515.0,8.03600920895378
553.666666666667,8.05751146056505
581.666666666667,8.08973093846508
607.666666666667,8.10166528272747
633.333333333333,8.0986679800329
657.666666666667,8.10450902219331
685.333333333333,8.10674495862895
710.666666666667,8.12400522271453
751.0,8.13368082134193
790.666666666667,8.15181581318509
851.0,8.15945069563471
912.0,8.17788118940204
976.0,8.19965607661146
999.0,8.18118118118118
999.0,8.15515515515516
999.0,8.14981648314982
999.0,8.13947280613947
999.0,8.14214214214214
999.0,8.14280947614281
999.0,8.14481147814481
999.0,8.14381047714381
999.0,8.12679346012679
999.0,8.12912912912913
999.0,8.12979646312979
999.0,8.1307974641308
999.0,8.1307974641308
999.0,8.1287954621288
999.0,8.13046379713046
999.0,8.1338004671338
999.0,8.13546880213547
999.0,8.14014014014014
999.0,8.14180847514181
999.0,8.13546880213547
999.0,8.13313313313313
999.0,8.13213213213213
999.0,8.12345679012346
999.0,8.12345679012346
999.0,8.12746079412746
999.0,8.12579245912579
999.0,8.11578244911578
999.0,8.11811811811812
999.0,8.11211211211211
999.0,8.11177844511178
999.0,8.12045378712045
999.0,8.12012012012012
999.0,8.11945278611945
999.0,8.11478144811478
999.0,8.11111111111111
999.0,8.11177844511178
999.0,8.11044377711044
999.0,8.11311311311311
999.0,8.12112112112112
999.0,8.12846179512846
999.0,8.12979646312979
999.0,8.12746079412746
999.0,8.12312312312312
999.0,8.12579245912579
999.0,8.12479145812479
999.0,8.1348014681348
999.0,8.14080747414081
999.0,8.14414414414414
999.0,8.14481147814482
999.0,8.14247580914248
999.0,8.13146479813146
999.0,8.13046379713047
999.0,8.12812812812813
999.0,8.11544878211545
999.0,8.11044377711045
999.0,8.10443777110444
999.0,8.10276943610277
999.0,8.10243576910244
999.0,8.09843176509843
999.0,8.09309309309309
999.0,8.09776443109777
999.0,8.09776443109776
999.0,8.10377043710377
999.0,8.10744077410744
999.0,8.1041041041041
999.0,8.1011011011011
999.0,8.10844177510844
999.0,8.10477143810477
999.0,8.10844177510844
999.0,8.10543877210544
999.0,8.09976643309977
999.0,8.10577243910577
999.0,8.09309309309309
999.0,8.09876543209877
999.0,8.09609609609609
999.0,8.09642976309643
999.0,8.1021021021021
999.0,8.09776443109777
999.0,8.10243576910244
999.0,8.09843176509843
999.0,8.10243576910244
999.0,8.0980980980981
999.0,8.09676343009677
