forward_num,forward_rate,forward_num,forward_rate,forward_num,forward_rate
10,5.5,10,5.5,10,5.5
10,5.5,10,5.5,10,5.5
10,5.5,10,5.5,10,5.5
10,5.5,9,5.33333333333333,10,5.5
10,5.5,9,5.33333333333333,10,5.5
10,5.5,9,5.33333333333333,10,5.5
10,5.5,9,5.33333333333333,10,5.5
10,5.5,9,5.33333333333333,10,5.5
10,5.5,9,5.33333333333333,10,5.5
10,5.5,9,5.33333333333333,10,5.5
10,5.5,9,5.33333333333333,10,5.5
11,5.81818181818182,10,5.7,11,5.81818181818182
12,6.16666666666667,11,6.09090909090909,12,6.16666666666667
13,6.38461538461539,12,6.33333333333333,13,6.23076923076923
13,6.38461538461539,12,6.33333333333333,13,6.23076923076923
14,6.5,12,6.33333333333333,14,6.21428571428571
14,6.5,12,6.33333333333333,14,6.21428571428571
15,6.4,13,6.23076923076923,15,6.26666666666667
15,6.4,13,6.23076923076923,15,6.26666666666667
15,6.4,13,6.23076923076923,15,6.26666666666667
15,6.4,13,6.23076923076923,15,6.26666666666667
17,6.35294117647059,15,6.26666666666667,17,6.41176470588235
19,6.57894736842105,17,6.52941176470588,19,6.73684210526316
20,6.75,18,6.61111111111111,20,6.8
20,6.75,18,6.61111111111111,20,6.8
21,6.80952380952381,19,6.68421052631579,20,6.8
23,6.65217391304348,21,6.66666666666667,22,6.72727272727273
23,6.65217391304348,21,6.66666666666667,22,6.72727272727273
24,6.75,21,6.66666666666667,23,6.78260869565217
24,6.75,21,6.66666666666667,23,6.78260869565217
25,6.8,21,6.66666666666667,24,6.83333333333333
26,6.88461538461539,21,6.66666666666667,25,6.92
26,6.88461538461539,22,6.77272727272727,30,7.13333333333333
27,6.96296296296296,24,7.0,30,7.13333333333333
33,7.03030303030303,28,6.89285714285714,34,7.08823529411765
35,7.05714285714286,30,7.06666666666667,35,7.17142857142857
36,7.08333333333333,32,7.15625,36,7.22222222222222
37,7.08108108108108,34,7.29411764705882,37,7.24324324324324
38,7.05263157894737,35,7.2,38,7.23684210526316
40,7.175,36,7.19444444444444,39,7.28205128205128
40,7.175,36,7.19444444444444,39,7.28205128205128
43,7.11627906976744,37,7.16216216216216,41,7.24390243902439
45,7.2,38,7.21052631578947,44,7.29545454545455
47,7.25531914893617,41,7.36585365853659,48,7.39583333333333
51,7.35294117647059,44,7.47727272727273,53,7.54716981132075
54,7.46296296296296,47,7.57446808510638,57,7.64912280701754
57,7.42105263157895,52,7.59615384615385,59,7.64406779661017
59,7.42372881355932,52,7.59615384615385,60,7.65
62,7.45161290322581,55,7.69090909090909,61,7.68852459016393
66,7.45454545454545,58,7.72413793103448,65,7.64615384615385
69,7.49275362318841,59,7.71186440677966,67,7.67164179104478
72,7.36111111111111,64,7.4375,70,7.51428571428571
75,7.38666666666667,66,7.45454545454545,75,7.54666666666667
77,7.41558441558442,71,7.53521126760563,80,7.625
84,7.51190476190476,76,7.67105263157895,86,7.75581395348837
94,7.57446808510638,81,7.71604938271605,97,7.79381443298969
95,7.57894736842105,83,7.74698795180723,100,7.83
98,7.58163265306122,88,7.79545454545455,105,7.81904761904762
103,7.58252427184466,96,7.83333333333333,108,7.83333333333333
110,7.59090909090909,101,7.88118811881188,115,7.79130434782609
114,7.64035087719298,103,7.90291262135922,117,7.79487179487179
120,7.63333333333333,107,7.86915887850467,119,7.79831932773109
126,7.67460317460317,111,7.86486486486486,125,7.784
131,7.68702290076336,115,7.84347826086957,133,7.83458646616541
138,7.71739130434783,119,7.88235294117647,141,7.87943262411348
146,7.71917808219178,130,7.93076923076923,153,7.95424836601307
159,7.75471698113208,143,7.95804195804196,164,7.95121951219512
166,7.80120481927711,151,8.04635761589404,174,7.98275862068965
178,7.73595505617978,164,8.01219512195122,189,7.93650793650794
187,7.7379679144385,174,8.04022988505747,196,7.91836734693878
194,7.75257731958763,179,8.03351955307263,203,7.92610837438424
201,7.80099502487562,185,8.01621621621622,207,7.93719806763285
214,7.7803738317757,191,8.03141361256544,217,7.93548387096774
222,7.83333333333333,196,8.02551020408163,224,7.95535714285714
231,7.85281385281385,205,8.02926829268293,238,7.96638655462185
245,7.84081632653061,222,8.02252252252252,256,8.01171875
263,7.86311787072243,240,8.04583333333333,284,8.01760563380282
280,7.87857142857143,263,8.106463878327,304,8.02302631578947
298,7.86241610738255,282,8.1063829787234,322,8.08074534161491
315,7.85079365079365,298,8.14429530201342,332,8.09638554216867
326,7.83435582822086,306,8.14705882352941,339,8.10029498525074
352,7.83238636363636,325,8.17538461538462,362,8.09668508287293
373,7.83914209115281,341,8.17302052785924,373,8.07506702412869
391,7.85166240409207,353,8.1586402266289,393,8.05089058524173
406,7.8743842364532,364,8.13736263736264,407,8.05405405405405
427,7.903981264637,388,8.14175257731959,440,8.08181818181818
453,7.93818984547461,414,8.17391304347826,481,8.11642411642412
481,7.96465696465696,442,8.18325791855204,520,8.125
504,8.00595238095238,470,8.18936170212766,547,8.16087751371115
528,7.99810606060606,499,8.19438877755511,580,8.14827586206897
550,8.01090909090909,540,8.22962962962963,607,8.17298187808896
577,8.0103986135182,573,8.26003490401396,634,8.18769716088328
616,8.01136363636364,604,8.25331125827815,665,8.16992481203008
652,7.99693251533742,625,8.264,688,8.13372093023256
688,8.01598837209302,645,8.26821705426357,721,8.11373092926491
740,8.02432432432432,676,8.25443786982249,765,8.1281045751634
781,8.03585147247119,707,8.25318246110325,815,8.14846625766871
819,8.04761904761905,749,8.26435246995995,872,8.16399082568807
858,8.05477855477855,797,8.29987452948557,928,8.17780172413793
922,8.07592190889371,867,8.30795847750865,992,8.20766129032258
970,8.08865979381443,934,8.33404710920771,999,8.20820820820821
999,8.06106106106106,999,8.31731731731732,999,8.19319319319319
999,8.04204204204204,999,8.2972972972973,999,8.19319319319319
999,8.03503503503504,999,8.3003003003003,999,8.19319319319319
999,8.02202202202202,999,8.29229229229229,999,8.19319319319319
999,8.03003003003003,999,8.29029029029029,999,8.1961961961962
999,8.02602602602603,999,8.3003003003003,999,8.2022022022022
999,8.02402402402402,999,8.2982982982983,999,8.2012012012012
999,8.02802802802803,999,8.29229229229229,999,8.2022022022022
999,8.03603603603604,999,8.28928928928929,999,8.2022022022022
999,8.04104104104104,999,8.28428428428428,999,8.21121121121121
999,8.04104104104104,999,8.27727727727728,999,8.21321321321321
999,8.03603603603604,999,8.27827827827828,999,8.21221221221221
999,8.02702702702703,999,8.27927927927928,999,8.21321321321321
999,8.03703703703704,999,8.28728728728729,999,8.21621621621622
999,8.03003003003003,999,8.3003003003003,999,8.23323323323323
999,8.03203203203203,999,8.3013013013013,999,8.22822822822823
