forward_num,reverse_num,forward_rate,reverse_rate,organism_num,organism_rate
5,5,5.0,5.0,10,5.0
5,5,5.0,5.0,10,5.0
5,5,5.0,5.0,10,5.0
6,6,5.33333333333333,5.33333333333333,12,5.33333333333333
7,7,5.42857142857143,5.42857142857143,14,5.42857142857143
8,8,5.375,5.375,16,5.375
11,11,5.54545454545455,5.54545454545455,22,5.54545454545455
14,14,5.42857142857143,5.42857142857143,28,5.42857142857143
14,14,5.42857142857143,5.42857142857143,28,5.42857142857143
20,20,5.7,5.7,40,5.7
20,19,5.7,5.63157894736842,39,5.66666666666667
26,25,5.61538461538461,5.56,51,5.58823529411765
34,32,5.94117647058824,5.875,66,5.90909090909091
38,36,5.84210526315789,5.77777777777778,74,5.81081081081081
48,46,5.75,5.69565217391304,94,5.72340425531915
64,60,6.0625,6.0,124,6.03225806451613
68,64,5.94117647058824,5.875,132,5.90909090909091
92,88,5.8695652173913,5.81818181818182,180,5.84444444444444
124,116,6.16129032258065,6.10344827586207,240,6.13333333333333
124,116,6.16129032258065,6.10344827586207,240,6.13333333333333
124,116,6.16129032258065,6.10344827586207,240,6.13333333333333
248,232,6.16129032258065,6.10344827586207,480,6.13333333333333
248,232,6.16129032258065,6.10344827586207,480,6.13333333333333
248,232,6.16129032258065,6.10344827586207,480,6.13333333333333
440,408,6.38181818181818,6.33333333333333,848,6.35849056603774
472,440,6.28813559322034,6.23636363636364,912,6.26315789473684
531,466,6.28436911487759,6.17596566523605,997,6.23370110330993
537,462,6.32774674115456,6.16233766233766,999,6.25125125125125
541,457,6.34935304990758,6.17505470459519,998,6.26953907815631
551,447,6.31578947368421,6.12527964205817,998,6.23046092184369
543,454,6.33517495395948,6.19162995594714,997,6.26980942828485
536,463,6.29850746268657,6.1511879049676,999,6.23023023023023
534,464,6.32771535580524,6.15948275862069,998,6.24949899799599
535,463,6.33831775700935,6.16414686825054,998,6.25751503006012
541,458,6.34011090573013,6.17248908296943,999,6.26326326326326
540,458,6.36296296296296,6.18777292576419,998,6.28256513026052
534,465,6.36516853932584,6.20860215053763,999,6.29229229229229
537,462,6.36126629422719,6.21861471861472,999,6.2952952952953
545,453,6.39449541284404,6.21192052980132,998,6.31162324649299
552,447,6.43478260869565,6.24608501118568,999,6.35035035035035
545,452,6.43302752293578,6.26769911504425,997,6.358074222668
542,456,6.41881918819188,6.23684210526316,998,6.33567134268537
543,455,6.42173112338858,6.25934065934066,998,6.34769539078156
541,458,6.38632162661738,6.24454148471616,999,6.32132132132132
547,452,6.40402193784278,6.24557522123894,999,6.33233233233233
547,452,6.42230347349177,6.25221238938053,999,6.34534534534535
551,448,6.41197822141561,6.26116071428571,999,6.34434434434434
550,448,6.39090909090909,6.21875,998,6.31362725450902
549,446,6.39344262295082,6.23094170403587,995,6.32060301507538
550,449,6.41272727272727,6.22939866369711,999,6.33033033033033
562,437,6.43060498220641,6.24713958810069,999,6.35035035035035
558,441,6.43189964157706,6.24036281179138,999,6.34734734734735
554,445,6.43501805054152,6.2247191011236,999,6.34134134134134
559,440,6.42039355992844,6.25909090909091,999,6.34934934934935
553,444,6.44303797468354,6.22747747747748,997,6.34704112337011
550,447,6.46181818181818,6.22371364653244,997,6.35506519558676
563,436,6.46891651865009,6.22706422018349,999,6.36336336336336
563,436,6.48134991119005,6.24082568807339,999,6.37637637637638
565,433,6.47610619469027,6.23325635103926,998,6.37074148296593
574,424,6.48606271777003,6.25943396226415,998,6.38977955911824
578,421,6.50346020761246,6.26840855106888,999,6.4044044044044
584,412,6.49486301369863,6.28398058252427,996,6.40763052208835
596,401,6.49161073825503,6.27431421446384,997,6.40421263791374
606,393,6.4950495049505,6.24427480916031,999,6.3963963963964
593,406,6.48060708263069,6.25862068965517,999,6.39039039039039
596,403,6.47986577181208,6.2605459057072,999,6.39139139139139
604,395,6.48841059602649,6.30632911392405,999,6.41641641641642
594,405,6.5,6.28888888888889,999,6.41441441441441
610,389,6.49180327868852,6.32647814910026,999,6.42742742742743
608,391,6.48519736842105,6.30690537084399,999,6.41541541541542
610,389,6.49016393442623,6.29820051413882,999,6.41541541541542
609,389,6.49261083743842,6.30591259640103,998,6.41983967935872
611,387,6.49099836333879,6.30232558139535,998,6.41783567134269
619,377,6.50403877221325,6.3183023872679,996,6.43373493975904
617,381,6.51377633711507,6.3254593175853,998,6.44188376753507
617,382,6.49270664505673,6.35340314136126,999,6.43943943943944
614,384,6.49837133550489,6.35677083333333,998,6.4438877755511
