forward_num,reverse_num,forward_rate,reverse_rate,organism_num,organism_rate,forward_num,reverse_num,forward_rate,reverse_rate,organism_num,organism_rate,forward_num,reverse_num,forward_rate,reverse_rate,organism_num,organism_rate
50,50,5.5,5.5,100,5.5,50,50,5.5,5.5,100,5.5,50,50,5.5,5.5,100,5.5
50,46,5.5,5.5,96,5.5,48,49,5.47916666666667,5.46938775510204,97,5.47422680412371,47,48,5.57446808510638,5.4375,95,5.50526315789474
50,45,5.5,5.51111111111111,95,5.50526315789474,48,48,5.47916666666667,5.54166666666667,96,5.51041666666667,47,48,5.57446808510638,5.4375,95,5.50526315789474
48,45,5.33333333333333,5.51111111111111,93,5.41935483870968,48,48,5.47916666666667,5.54166666666667,96,5.51041666666667,46,46,5.6304347826087,5.56521739130435,92,5.59782608695652
46,44,5.26086956521739,5.61363636363636,90,5.43333333333333,46,48,5.43478260869565,5.54166666666667,94,5.48936170212766,46,46,5.6304347826087,5.56521739130435,92,5.59782608695652
46,44,5.26086956521739,5.61363636363636,90,5.43333333333333,45,48,5.44444444444444,5.54166666666667,93,5.49462365591398,45,45,5.55555555555556,5.66666666666667,90,5.61111111111111
44,44,5.27272727272727,5.61363636363636,88,5.44318181818182,45,48,5.44444444444444,5.54166666666667,93,5.49462365591398,45,45,5.55555555555556,5.66666666666667,90,5.61111111111111
44,44,5.27272727272727,5.61363636363636,88,5.44318181818182,45,47,5.44444444444444,5.63829787234043,92,5.54347826086957,44,44,5.47727272727273,5.70454545454545,88,5.59090909090909
43,44,5.23255813953488,5.61363636363636,87,5.42528735632184,44,47,5.40909090909091,5.63829787234043,91,5.52747252747253,43,44,5.58139534883721,5.70454545454545,87,5.64367816091954
42,44,5.16666666666667,5.61363636363636,86,5.3953488372093,44,45,5.40909090909091,5.62222222222222,89,5.51685393258427,43,43,5.58139534883721,5.62790697674419,86,5.6046511627907
42,44,5.16666666666667,5.61363636363636,86,5.3953488372093,43,44,5.3953488372093,5.52272727272727,87,5.45977011494253,42,43,5.5,5.62790697674419,85,5.56470588235294
44,48,5.52272727272727,6.02083333333333,92,5.78260869565217,47,47,5.78723404255319,5.80851063829787,94,5.79787234042553,47,48,5.97872340425532,6.08333333333333,95,6.03157894736842
47,50,5.82978723404255,6.2,97,6.02061855670103,50,46,6.0,6.10869565217391,96,6.05208333333333,48,50,6.125,6.26,98,6.19387755102041
48,50,6.08333333333333,6.14,98,6.11224489795918,52,47,6.15384615384615,6.17021276595745,99,6.16161616161616,50,49,6.1,6.26530612244898,99,6.18181818181818
47,50,6.08510638297872,6.14,97,6.11340206185567,51,45,6.17647058823529,6.33333333333333,96,6.25,48,50,6.0625,6.26,98,6.16326530612245
44,54,6.18181818181818,6.22222222222222,98,6.20408163265306,50,46,6.2,6.43478260869565,96,6.3125,48,51,6.14583333333333,6.27450980392157,99,6.21212121212121
43,52,6.23255813953488,6.23076923076923,95,6.23157894736842,49,44,6.28571428571429,6.56818181818182,93,6.41935483870968,47,49,6.1063829787234,6.3265306122449,96,6.21875
45,53,6.13333333333333,6.20754716981132,98,6.1734693877551,51,46,6.2156862745098,6.54347826086957,97,6.37113402061856,49,50,6.02040816326531,6.42,99,6.22222222222222
45,51,6.13333333333333,6.35294117647059,96,6.25,50,45,6.32,6.46666666666667,95,6.38947368421053,45,50,6.02222222222222,6.34,95,6.18947368421053
44,50,6.13636363636364,6.3,94,6.22340425531915,48,45,6.27083333333333,6.46666666666667,93,6.36559139784946,44,49,6.0,6.30612244897959,93,6.16129032258065
41,49,5.97560975609756,6.40816326530612,90,6.21111111111111,48,45,6.27083333333333,6.46666666666667,93,6.36559139784946,44,49,6.0,6.30612244897959,93,6.16129032258065
49,50,6.22448979591837,6.6,99,6.41414141414141,52,47,6.96153846153846,6.36170212765957,99,6.67676767676768,46,53,6.21739130434783,6.49056603773585,99,6.36363636363636
46,51,6.21739130434783,6.96078431372549,97,6.60824742268041,48,49,6.97916666666667,6.6530612244898,97,6.81443298969072,48,49,6.375,6.55102040816327,97,6.4639175257732
47,52,6.76595744680851,7.11538461538461,99,6.94949494949495,53,46,7.16981132075472,6.73913043478261,99,6.96969696969697,46,53,6.58695652173913,6.73584905660377,99,6.66666666666667
43,53,6.74418604651163,7.33962264150943,96,7.07291666666667,51,46,7.2156862745098,7.04347826086957,97,7.1340206185567,45,53,6.68888888888889,6.71698113207547,98,6.70408163265306
42,52,6.85714285714286,7.36538461538461,94,7.13829787234043,50,45,7.16,7.04444444444444,95,7.10526315789474,43,53,6.72093023255814,6.71698113207547,96,6.71875
45,54,6.97777777777778,7.2037037037037,99,7.1010101010101,52,47,6.90384615384615,6.78723404255319,99,6.84848484848485,46,53,6.80434782608696,6.58490566037736,99,6.68686868686869
44,52,6.93181818181818,7.26923076923077,96,7.11458333333333,51,47,7.05882352941176,6.87234042553191,98,6.96938775510204,47,50,6.82978723404255,6.74,97,6.78350515463918
44,51,6.93181818181818,7.31372549019608,95,7.13684210526316,49,46,7.06122448979592,6.82608695652174,95,6.94736842105263,45,49,6.93333333333333,6.79591836734694,94,6.86170212765957
45,54,6.93333333333333,7.31481481481481,99,7.14141414141414,51,48,7.07843137254902,6.8125,99,6.94949494949495,47,48,6.93617021276596,6.89583333333333,95,6.91578947368421
40,56,6.775,7.28571428571429,96,7.07291666666667,50,47,7.14,6.80851063829787,97,6.97938144329897,45,51,6.91111111111111,6.84313725490196,96,6.875
44,54,7.06818181818182,7.27777777777778,98,7.18367346938776,53,46,7.43396226415094,7.0,99,7.23232323232323,47,50,7.14893617021277,6.88,97,7.01030927835052
40,59,7.175,7.64406779661017,99,7.45454545454545,52,47,7.78846153846154,7.21276595744681,99,7.51515151515152,49,50,7.48979591836735,7.28,99,7.38383838383838
