forward_num,reverse_num,forward_rate,reverse_rate,organism_num,organism_rate,forward_num,reverse_num,forward_rate,reverse_rate,organism_num,organism_rate,forward_num,reverse_num,forward_rate,reverse_rate,organism_num,organism_rate
50,50,5.5,5.5,100,5.5,50,50,5.5,5.5,100,5.5,50,50,5.5,5.5,100,5.5
46,48,5.58695652173913,5.58333333333333,94,5.58510638297872,49,48,5.53061224489796,5.625,97,5.57731958762887,48,48,5.47916666666667,5.54166666666667,96,5.51041666666667
46,46,5.58695652173913,5.56521739130435,92,5.57608695652174,46,48,5.60869565217391,5.625,94,5.61702127659574,46,48,5.3695652173913,5.54166666666667,94,5.45744680851064
44,45,5.47727272727273,5.64444444444444,89,5.56179775280899,45,48,5.62222222222222,5.625,93,5.62365591397849,46,48,5.3695652173913,5.54166666666667,94,5.45744680851064
43,45,5.41860465116279,5.64444444444444,88,5.53409090909091,45,47,5.62222222222222,5.57446808510638,92,5.59782608695652,46,48,5.3695652173913,5.54166666666667,94,5.45744680851064
43,44,5.41860465116279,5.54545454545455,87,5.48275862068965,45,46,5.62222222222222,5.58695652173913,91,5.6043956043956,46,48,5.3695652173913,5.54166666666667,94,5.45744680851064
43,43,5.41860465116279,5.55813953488372,86,5.48837209302326,44,46,5.70454545454545,5.58695652173913,90,5.64444444444444,44,47,5.56818181818182,5.4468085106383,91,5.50549450549451
43,43,5.41860465116279,5.55813953488372,86,5.48837209302326,44,45,5.70454545454545,5.6,89,5.65168539325843,43,47,5.53488372093023,5.4468085106383,90,5.48888888888889
43,43,5.41860465116279,5.55813953488372,86,5.48837209302326,43,44,5.81395348837209,5.65909090909091,87,5.73563218390805,43,46,5.53488372093023,5.34782608695652,89,5.43820224719101
42,42,5.33333333333333,5.64285714285714,84,5.48809523809524,41,44,5.70731707317073,5.65909090909091,85,5.68235294117647,41,44,5.60975609756098,5.47727272727273,85,5.54117647058824
42,42,5.33333333333333,5.64285714285714,84,5.48809523809524,41,44,5.70731707317073,5.65909090909091,85,5.68235294117647,39,44,5.74358974358974,5.47727272727273,83,5.60240963855422
46,46,5.82608695652174,5.93478260869565,92,5.8804347826087,44,49,6.09090909090909,6.0,93,6.04301075268817,44,47,6.11363636363636,5.70212765957447,91,5.9010989010989
48,49,5.95833333333333,6.16326530612245,97,6.06185567010309,46,52,6.34782608695652,6.36538461538461,98,6.35714285714286,46,51,6.23913043478261,6.03921568627451,97,6.1340206185567
48,51,6.125,6.27450980392157,99,6.2020202020202,47,52,6.48936170212766,6.26923076923077,99,6.37373737373737,46,52,6.32608695652174,6.32692307692308,98,6.3265306122449
45,52,6.22222222222222,6.32692307692308,97,6.27835051546392,43,52,6.41860465116279,6.23076923076923,95,6.31578947368421,46,51,6.32608695652174,6.37254901960784,97,6.35051546391753
46,53,6.26086956521739,6.43396226415094,99,6.35353535353535,43,56,6.65116279069767,6.33928571428571,99,6.47474747474747,45,54,6.22222222222222,6.42592592592593,99,6.33333333333333
45,51,6.31111111111111,6.41176470588235,96,6.36458333333333,43,54,6.65116279069767,6.2962962962963,97,6.45360824742268,44,53,6.22727272727273,6.39622641509434,97,6.31958762886598
47,52,6.25531914893617,6.38461538461539,99,6.32323232323232,45,53,6.55555555555556,6.28301886792453,98,6.40816326530612,45,54,6.26666666666667,6.31481481481481,99,6.29292929292929
47,50,6.25531914893617,6.4,97,6.32989690721649,44,54,6.56818181818182,6.24074074074074,98,6.38775510204082,45,51,6.17777777777778,6.33333333333333,96,6.26041666666667
47,48,6.25531914893617,6.4375,95,6.34736842105263,44,54,6.56818181818182,6.24074074074074,98,6.38775510204082,43,51,6.18604651162791,6.33333333333333,94,6.26595744680851
47,46,6.25531914893617,6.30434782608696,93,6.27956989247312,43,53,6.55813953488372,6.32075471698113,96,6.42708333333333,42,51,6.19047619047619,6.33333333333333,93,6.26881720430108
51,48,6.37254901960784,6.39583333333333,99,6.38383838383838,48,51,6.6875,6.17647058823529,99,6.42424242424242,44,55,6.06818181818182,6.45454545454545,99,6.28282828282828
47,52,6.57446808510638,6.61538461538461,99,6.5959595959596,46,53,6.80434782608696,6.56603773584906,99,6.67676767676768,46,53,6.3695652173913,6.52830188679245,99,6.45454545454545
48,50,6.625,6.56,98,6.59183673469388,48,51,7.20833333333333,6.68627450980392,99,6.93939393939394,46,53,6.60869565217391,6.77358490566038,99,6.6969696969697
46,51,6.60869565217391,6.62745098039216,97,6.61855670103093,46,50,7.08695652173913,6.84,96,6.95833333333333,44,52,6.56818181818182,6.82692307692308,96,6.70833333333333
45,52,6.8,6.82692307692308,97,6.81443298969072,45,49,7.04444444444444,7.0,94,7.02127659574468,45,53,6.71111111111111,6.9811320754717,98,6.85714285714286
44,55,6.79545454545455,6.72727272727273,99,6.75757575757576,44,53,6.97727272727273,6.90566037735849,97,6.93814432989691,44,54,6.61363636363636,6.90740740740741,98,6.77551020408163
