forward_num,reverse_num,forward_rate,reverse_rate,organism_num,organism_rate,forward_num,reverse_num,forward_rate,reverse_rate,organism_num,organism_rate,forward_num,reverse_num,forward_rate,reverse_rate,organism_num,organism_rate
50,50,5.5,5.5,100,5.5,50,50,5.5,5.5,100,5.5,50,50,5.5,5.5,100,5.5
46,49,5.6304347826087,5.57142857142857,95,5.6,50,47,5.5,5.57446808510638,97,5.5360824742268,49,47,5.42857142857143,5.48936170212766,96,5.45833333333333
45,48,5.68888888888889,5.5625,93,5.62365591397849,50,45,5.5,5.55555555555556,95,5.52631578947368,47,47,5.48936170212766,5.48936170212766,94,5.48936170212766
45,48,5.68888888888889,5.5625,93,5.62365591397849,49,45,5.46938775510204,5.55555555555556,94,5.51063829787234,46,44,5.45652173913043,5.61363636363636,90,5.53333333333333
44,48,5.63636363636364,5.5625,92,5.59782608695652,49,44,5.46938775510204,5.47727272727273,93,5.47311827956989,46,44,5.45652173913043,5.61363636363636,90,5.53333333333333
43,47,5.6046511627907,5.46808510638298,90,5.53333333333333,48,44,5.54166666666667,5.47727272727273,92,5.51086956521739,45,44,5.42222222222222,5.61363636363636,89,5.51685393258427
43,47,5.6046511627907,5.46808510638298,90,5.53333333333333,47,44,5.59574468085106,5.47727272727273,91,5.53846153846154,45,43,5.42222222222222,5.58139534883721,88,5.5
43,45,5.6046511627907,5.28888888888889,88,5.44318181818182,45,43,5.73333333333333,5.55813953488372,88,5.64772727272727,45,43,5.42222222222222,5.58139534883721,88,5.5
42,44,5.64285714285714,5.34090909090909,86,5.48837209302326,45,43,5.73333333333333,5.55813953488372,88,5.64772727272727,45,42,5.42222222222222,5.52380952380952,87,5.47126436781609
42,44,5.64285714285714,5.34090909090909,86,5.48837209302326,45,42,5.73333333333333,5.57142857142857,87,5.6551724137931,44,42,5.40909090909091,5.52380952380952,86,5.46511627906977
42,41,5.64285714285714,5.31707317073171,83,5.48192771084337,44,42,5.65909090909091,5.57142857142857,86,5.61627906976744,43,42,5.46511627906977,5.52380952380952,85,5.49411764705882
46,42,5.93478260869565,5.40476190476191,88,5.68181818181818,49,45,6.0,5.77777777777778,94,5.8936170212766,47,47,5.93617021276596,5.87234042553191,94,5.90425531914894
51,45,6.29411764705882,5.71111111111111,96,6.02083333333333,53,45,6.18867924528302,6.0,98,6.10204081632653,47,50,6.12765957446809,6.04,97,6.08247422680412
54,45,6.44444444444444,5.82222222222222,99,6.16161616161616,56,43,6.41071428571429,5.93023255813953,99,6.2020202020202,52,47,6.28846153846154,6.06382978723404,99,6.18181818181818
52,45,6.36538461538461,5.84444444444444,97,6.12371134020619,54,41,6.44444444444444,6.19512195121951,95,6.33684210526316,46,49,6.43478260869565,6.22448979591837,95,6.32631578947368
52,47,6.51923076923077,5.97872340425532,99,6.26262626262626,56,43,6.33928571428571,6.13953488372093,99,6.25252525252525,47,48,6.46808510638298,6.25,95,6.35789473684211
51,46,6.47058823529412,5.97826086956522,97,6.23711340206186,54,43,6.35185185185185,6.27906976744186,97,6.31958762886598,46,47,6.43478260869565,6.19148936170213,93,6.31182795698925
54,45,6.44444444444444,5.95555555555556,99,6.22222222222222,55,42,6.30909090909091,6.23809523809524,97,6.27835051546392,48,48,6.375,6.20833333333333,96,6.29166666666667
